Dislin       15.12.2009  14:03:08 10.0
yifeng       27.11.2024  15:24:27 11.5  c
yifeng       27.11.2024  15:24:52 11.5  c
yifeng       05.12.2024  10:30:56 11.5  c
yifeng       05.12.2024  10:37:57 11.5  c
yifeng       05.12.2024  10:38:48 11.5  c
yifeng       05.12.2024  11:26:28 11.5  c
yifeng       05.12.2024  11:30:53 11.5  c
yifeng       05.12.2024  11:31:32 11.5  c
yifeng       05.12.2024  11:31:39 11.5  c
yifeng       05.12.2024  11:48:37 11.5  c
yifeng       05.12.2024  15:21:09 11.5  c
yifeng       05.12.2024  15:22:56 11.5  c
yifeng       05.12.2024  15:23:40 11.5  c
yifeng       05.12.2024  15:24:06 11.5  c
yifeng       05.12.2024  15:24:32 11.5  c
yifeng       13.02.2025  12:10:52 11.5  c
yifeng       13.02.2025  12:19:00 11.5  c
yifeng       13.02.2025  12:20:46 11.5  c
yifeng       13.02.2025  12:26:44 11.5  c
yifeng       13.02.2025  12:28:21 11.5  c
yifeng       13.02.2025  12:41:43 11.5  c
yifeng       13.02.2025  12:47:09 11.5  c
yifeng       13.02.2025  12:47:25 11.5  c
yifeng       13.02.2025  12:47:40 11.5  c
yifeng       13.02.2025  12:47:50 11.5  c
yifeng       13.02.2025  12:48:35 11.5  c
yifeng       13.02.2025  12:56:05 11.5  c
yifeng       13.02.2025  12:56:13 11.5  c
yifeng       13.02.2025  12:59:30 11.5  c
yifeng       13.02.2025  13:00:56 11.5  c
yifeng       13.02.2025  13:01:45 11.5  c
yifeng       13.02.2025  13:05:22 11.5  c
yifeng       13.02.2025  13:06:17 11.5  c
yifeng       13.02.2025  13:08:35 11.5  c
yifeng       13.02.2025  13:09:02 11.5  c
yifeng       13.02.2025  13:09:12 11.5  c
yifeng       13.02.2025  13:09:27 11.5  c
yifeng       13.02.2025  13:09:39 11.5  c
yifeng       13.02.2025  13:11:20 11.5  c
yifeng       13.02.2025  13:50:14 11.5  c
yifeng       13.02.2025  13:50:28 11.5  c
yifeng       13.02.2025  13:50:40 11.5  c
yifeng       13.02.2025  13:50:50 11.5  c
yifeng       13.02.2025  13:53:09 11.5  c
yifeng       13.02.2025  13:54:10 11.5  c
yifeng       13.02.2025  13:54:21 11.5  c
yifeng       13.02.2025  13:54:59 11.5  c
yifeng       13.02.2025  13:55:20 11.5  c
yifeng       13.02.2025  16:11:10 11.5  c
yifeng       13.02.2025  16:11:44 11.5  c
yifeng       13.02.2025  16:11:52 11.5  c
yifeng       13.02.2025  16:12:57 11.5  c
yifeng       13.02.2025  16:13:06 11.5  c
yifeng       13.02.2025  16:13:24 11.5  c
yifeng       13.02.2025  16:13:59 11.5  c
yifeng       13.02.2025  16:15:12 11.5  c
yifeng       13.02.2025  16:17:08 11.5  c
yifeng       13.02.2025  16:17:26 11.5  c
yifeng       13.02.2025  16:17:33 11.5  c
yifeng       13.02.2025  16:17:58 11.5  c
yifeng       13.02.2025  16:18:16 11.5  c
yifeng       13.02.2025  17:05:53 11.5  c
yifeng       13.02.2025  17:06:25 11.5  c
yifeng       13.02.2025  17:07:00 11.5  c
yifeng       13.02.2025  17:07:20 11.5  c
yifeng       13.02.2025  17:08:03 11.5  c
yifeng       13.02.2025  17:08:51 11.5  c
yifeng       13.02.2025  17:09:48 11.5  c
yifeng       13.02.2025  17:12:14 11.5  c
