n_lane,egress_symbols_per_beat,burstiness,ready_duty,rho_lane,opq_loss_probability,time_merger_loss_probability,loss_ratio_clipped
4,1,-0.25000000,0.45000000,0.00750000,1.000000000000e-12,7.249366317217e-11,72.4936631722
4,1,-0.24000000,0.45000000,0.00750000,1.000000000000e-12,7.810811031777e-11,78.1081103178
4,1,-0.23000000,0.45000000,0.00750000,1.000000000000e-12,8.420739111192e-11,84.2073911119
4,1,-0.22000000,0.45000000,0.00750000,1.000000000000e-12,9.083776360158e-11,90.8377636016
4,1,-0.21000000,0.45000000,0.00750000,1.000000000000e-12,9.805032521427e-11,98.0503252143
4,1,-0.20000000,0.45000000,0.00750000,1.000000000000e-12,1.059015643445e-10,105.9015643445
4,1,-0.19000000,0.45000000,0.00750000,1.000000000000e-12,1.144539800606e-10,114.4539800606
4,1,-0.18000000,0.45000000,0.00750000,1.000000000000e-12,1.237767790034e-10,123.7767790034
4,1,-0.17000000,0.45000000,0.00750000,1.000000000000e-12,1.339466598486e-10,133.9466598486
4,1,-0.16000000,0.45000000,0.00750000,1.000000000000e-12,1.450486971958e-10,145.0486971958
4,1,-0.15000000,0.45000000,0.00750000,1.000000000000e-12,1.571773384807e-10,157.1773384807
4,1,-0.14000000,0.45000000,0.00750000,1.000000000000e-12,1.704375294976e-10,170.4375294976
4,1,-0.13000000,0.45000000,0.00750000,1.000000000000e-12,1.849459864331e-10,184.9459864331
4,1,-0.12000000,0.45000000,0.00750000,1.000000000000e-12,2.008326349855e-10,200.8326349855
4,1,-0.11000000,0.45000000,0.00750000,1.000000000000e-12,2.182422402524e-10,218.2422402524
4,1,-0.10000000,0.45000000,0.00750000,1.000000000000e-12,2.373362546717e-10,237.3362546717
4,1,-0.09000000,0.45000000,0.00750000,1.000000000000e-12,2.582949154973e-10,258.2949154973
4,1,-0.08000000,0.45000000,0.00750000,1.000000000000e-12,2.813196281767e-10,281.3196281767
4,1,-0.07000000,0.45000000,0.00750000,1.000000000000e-12,3.066356776898e-10,306.6356776898
4,1,-0.06000000,0.45000000,0.00750000,1.000000000000e-12,3.344953165645e-10,334.4953165645
4,1,-0.05000000,0.45000000,0.00750000,1.000000000000e-12,3.651812860580e-10,365.1812860580
4,1,-0.04000000,0.45000000,0.00750000,1.000000000000e-12,3.990108361047e-10,399.0108361047
4,1,-0.03000000,0.45000000,0.00750000,1.000000000000e-12,4.363403203109e-10,436.3403203109
4,1,-0.02000000,0.45000000,0.00750000,1.000000000000e-12,4.775704548205e-10,477.5704548205
4,1,-0.01000000,0.45000000,0.00750000,1.000000000000e-12,5.231523446313e-10,523.1523446313
4,1,0.00000000,0.45000000,0.00750000,1.000000000000e-12,5.735943983230e-10,573.5943983230
4,1,0.01000000,0.45000000,0.00750000,1.000000000000e-12,6.294702726604e-10,629.4702726604
4,1,0.02000000,0.45000000,0.00750000,1.000000000000e-12,6.914280127703e-10,691.4280127703
4,1,0.03000000,0.45000000,0.00750000,1.000000000000e-12,7.602005822683e-10,760.2005822683
