run_tag,case,sim_pass,profile,lane,n_lane,n_shd,egress_symbols_per_beat,lane_fifo_depth,ticket_fifo_depth,page_ram_depth,ready_duty_ppm,rho_ppm,burstiness_milli,frame_count,subheaders_per_frame,inter_frame_gap_cycles,frame_ts_step_ticks,frame_launch_period_cycles,feb_header_latency_cycles,hit_period,hit_count,noise_rho_ppm,cluster_rho_ppm,cluster_size_min,cluster_size_max,rng_seed,expected_hits,accepted_hits,dropped_hits,delivered_hits,unexplained_hits,drop_events,hdr_drop_events,pre_drop_hits,post_drop_hits,monitor_dropped_hits,loss_ppm,drr_allowance,drr_quantum,drr_grants,drr_beats,drr_defers
scan128_b700_rho8000,RTL-LS-002,0,3,0,4,128,1,2048,4096,65536,1000000,8000000,700,245,128,4096,2048,4096,4096,1,1,13423,7986577,17,17,1545722689,250340,34713,215627,17235,17929,15831,0,213520,2107,215627,861336,256,958,2617,21653,1474
scan128_b700_rho8000,RTL-LS-002,0,3,1,4,128,1,2048,4096,65536,1000000,8000000,700,245,128,4096,2048,4096,4096,1,1,13423,7986577,17,17,1545722689,251134,30050,221084,16261,14481,16146,0,218826,2258,221084,880342,256,979,2533,20617,1441
scan128_b700_rho8000,RTL-LS-002,0,3,2,4,128,1,2048,4096,65536,1000000,8000000,700,245,128,4096,2048,4096,4096,1,1,13423,7986577,17,17,1545722689,254365,31973,222392,16693,15749,16126,0,220635,1757,222392,874302,256,989,2581,21314,1500
scan128_b700_rho8000,RTL-LS-002,0,3,3,4,128,1,2048,4096,65536,1000000,8000000,700,245,128,4096,2048,4096,4096,1,1,13423,7986577,17,17,1545722689,246344,31555,214789,16511,15560,15977,0,213010,1779,214789,871906,256,1006,2540,21078,1520
scan128_b600_rho8000,RTL-LS-002,0,3,0,4,128,1,2048,4096,65536,1000000,8000000,600,245,128,4096,2048,4096,4096,1,1,58824,7941176,9,9,1545697089,251353,24487,226866,16899,7778,19434,0,226150,716,226866,902579,256,1022,3845,21530,1799
scan128_b600_rho8000,RTL-LS-002,0,3,1,4,128,1,2048,4096,65536,1000000,8000000,600,245,128,4096,2048,4096,4096,1,1,58824,7941176,9,9,1545697089,250737,23728,227009,16623,7358,19475,0,225996,1013,227009,905366,256,1007,3681,21110,1573
scan128_b600_rho8000,RTL-LS-002,0,3,2,4,128,1,2048,4096,65536,1000000,8000000,600,245,128,4096,2048,4096,4096,1,1,58824,7941176,9,9,1545697089,253438,22236,231202,17344,5168,19762,0,230456,746,231202,912262,256,1011,3950,21967,1834
scan128_b600_rho8000,RTL-LS-002,0,3,3,4,128,1,2048,4096,65536,1000000,8000000,600,245,128,4096,2048,4096,4096,1,1,58824,7941176,9,9,1545697089,253222,24242,228980,17070,7311,19555,0,228409,571,228980,904265,256,995,3956,21698,1792
scan128_b500_rho8000,RTL-LS-002,1,3,0,4,128,1,2048,4096,65536,1000000,8000000,500,245,128,4096,2048,4096,4096,1,1,0,8000000,5,5,1545671489,251095,14915,236180,14915,0,25624,0,230300,5880,236180,940600,256,928,3459,17143,1787
scan128_b500_rho8000,RTL-LS-002,1,3,1,4,128,1,2048,4096,65536,1000000,8000000,500,245,128,4096,2048,4096,4096,1,1,0,8000000,5,5,1545671489,251560,15350,236210,15350,0,25558,0,230545,5665,236210,938980,256,953,3642,17709,1748
scan128_b500_rho8000,RTL-LS-002,1,3,2,4,128,1,2048,4096,65536,1000000,8000000,500,245,128,4096,2048,4096,4096,1,1,0,8000000,5,5,1545671489,251105,15205,235900,15205,0,25500,0,230295,5605,235900,939447,256,973,3604,17571,1768
scan128_b500_rho8000,RTL-LS-002,1,3,3,4,128,1,2048,4096,65536,1000000,8000000,500,245,128,4096,2048,4096,4096,1,1,0,8000000,5,5,1545671489,249525,15500,234025,15500,0,25530,0,228360,5665,234025,937881,256,955,3609,17830,1765
scan128_b403_rho8000,RTL-LS-002,0,3,0,4,128,1,2048,4096,65536,1000000,8000000,403,245,128,4096,2048,4096,4096,1,1,603865,7396135,4,4,1545646657,253877,16186,237691,16096,90,28030,0,230050,7641,237691,936244,256,1003,4734,19178,2047
scan128_b403_rho8000,RTL-LS-002,0,3,1,4,128,1,2048,4096,65536,1000000,8000000,403,245,128,4096,2048,4096,4096,1,1,603865,7396135,4,4,1545646657,252216,15851,236365,15851,0,28041,0,228570,7795,236365,937153,256,896,4612,18732,1987
scan128_b403_rho8000,RTL-LS-002,0,3,2,4,128,1,2048,4096,65536,1000000,8000000,403,245,128,4096,2048,4096,4096,1,1,603865,7396135,4,4,1545646657,251618,16004,235614,15957,47,27957,0,227906,7708,235614,936395,256,1015,4821,19082,2044
scan128_b403_rho8000,RTL-LS-002,0,3,3,4,128,1,2048,4096,65536,1000000,8000000,403,245,128,4096,2048,4096,4096,1,1,603865,7396135,4,4,1545646657,250427,15841,234586,15760,81,28037,0,226879,7707,234586,936744,256,983,4660,18800,2040
scan128_b300_rho8000,RTL-LS-002,0,3,0,4,128,1,2048,4096,65536,1000000,8000000,300,245,128,4096,2048,4096,4096,1,1,1394495,6605505,3,3,1545620289,252773,11907,240866,11895,12,29477,0,227104,13762,240866,952894,256,933,3490,14118,1503
scan128_b300_rho8000,RTL-LS-002,0,3,1,4,128,1,2048,4096,65536,1000000,8000000,300,245,128,4096,2048,4096,4096,1,1,1394495,6605505,3,3,1545620289,251443,12159,239284,12159,0,29423,0,225739,13545,239284,951643,256,1002,3638,14457,1413
scan128_b300_rho8000,RTL-LS-002,0,3,2,4,128,1,2048,4096,65536,1000000,8000000,300,245,128,4096,2048,4096,4096,1,1,1394495,6605505,3,3,1545620289,250362,12069,238293,12069,0,29438,0,224431,13862,238293,951793,256,994,3710,14362,1449
scan128_b300_rho8000,RTL-LS-002,0,3,3,4,128,1,2048,4096,65536,1000000,8000000,300,245,128,4096,2048,4096,4096,1,1,1394495,6605505,3,3,1545620289,250965,11792,239173,11792,0,29476,0,225303,13870,239173,953013,256,994,3587,14070,1467
scan128_b200_rho8000,RTL-LS-002,0,3,0,4,128,1,2048,4096,65536,1000000,8000000,200,245,128,4096,2048,4096,4096,1,1,1846154,6153846,2,2,1545594689,251404,10914,240490,10815,99,29731,0,220543,19947,240490,956587,256,1007,3200,12913,1302
scan128_b200_rho8000,RTL-LS-002,0,3,1,4,128,1,2048,4096,65536,1000000,8000000,200,245,128,4096,2048,4096,4096,1,1,1846154,6153846,2,2,1545594689,250367,10570,239797,10419,151,29788,0,219511,20286,239797,957781,256,1002,3155,12533,1288
scan128_b200_rho8000,RTL-LS-002,0,3,2,4,128,1,2048,4096,65536,1000000,8000000,200,245,128,4096,2048,4096,4096,1,1,1846154,6153846,2,2,1545594689,252279,10947,241332,10815,132,29764,0,221312,20020,241332,956607,256,1015,3239,12926,1285
scan128_b200_rho8000,RTL-LS-002,0,3,3,4,128,1,2048,4096,65536,1000000,8000000,200,245,128,4096,2048,4096,4096,1,1,1846154,6153846,2,2,1545594689,250675,10628,240047,10522,106,29759,0,219893,20154,240047,957602,256,991,3226,12647,1298
scan128_b100_rho8000,RTL-LS-002,0,3,0,4,128,1,2048,4096,65536,1000000,8000000,100,245,128,4096,2048,4096,4096,1,1,4831683,3168317,2,2,1545569089,250359,12686,237673,12324,362,29567,0,219081,18592,237673,949328,256,1014,3709,14992,1565
scan128_b100_rho8000,RTL-LS-002,0,3,1,4,128,1,2048,4096,65536,1000000,8000000,100,245,128,4096,2048,4096,4096,1,1,4831683,3168317,2,2,1545569089,250887,12517,238370,12130,387,29603,0,219587,18783,238370,950109,256,1014,3698,14784,1502
scan128_b100_rho8000,RTL-LS-002,0,3,2,4,128,1,2048,4096,65536,1000000,8000000,100,245,128,4096,2048,4096,4096,1,1,4831683,3168317,2,2,1545569089,250730,13098,237632,12649,449,29562,0,219560,18072,237632,947760,256,1016,3787,15474,1541
scan128_b100_rho8000,RTL-LS-002,0,3,3,4,128,1,2048,4096,65536,1000000,8000000,100,245,128,4096,2048,4096,4096,1,1,4831683,3168317,2,2,1545569089,250546,12833,237713,12451,382,29596,0,219345,18368,237713,948779,256,1019,3738,15145,1553
scan128_b000_rho8000,RTL-LS-002,0,3,0,4,128,1,2048,4096,65536,1000000,8000000,0,245,128,4096,2048,4096,4096,1,1,8000000,0,1,1,1545543489,250244,13068,237176,13064,4,29445,0,203376,33800,237176,947778,256,1019,3678,15309,1360
scan128_b000_rho8000,RTL-LS-002,0,3,1,4,128,1,2048,4096,65536,1000000,8000000,0,245,128,4096,2048,4096,4096,1,1,8000000,0,1,1,1545543489,251754,12938,238816,12874,64,29495,0,204761,34055,238816,948608,256,928,3721,15255,1255
scan128_b000_rho8000,RTL-LS-002,0,3,2,4,128,1,2048,4096,65536,1000000,8000000,0,245,128,4096,2048,4096,4096,1,1,8000000,0,1,1,1545543489,250156,12847,237309,12826,21,29468,0,203250,34059,237309,948644,256,1015,3763,15181,1326
scan128_b000_rho8000,RTL-LS-002,0,3,3,4,128,1,2048,4096,65536,1000000,8000000,0,245,128,4096,2048,4096,4096,1,1,8000000,0,1,1,1545543489,250155,13071,237084,13007,64,29453,0,203219,33865,237084,947748,256,991,3807,15460,1324
scan128_b700_rho6000,RTL-LS-002,0,3,0,4,128,1,2048,4096,65536,1000000,6000000,700,326,128,4096,2048,4096,4096,1,1,10067,5989933,17,17,1545720689,250424,41961,208463,18233,24967,21978,0,205482,2981,208463,832440,256,963,2801,23247,1601
scan128_b700_rho6000,RTL-LS-002,0,3,1,4,128,1,2048,4096,65536,1000000,6000000,700,326,128,4096,2048,4096,4096,1,1,10067,5989933,17,17,1545720689,250550,38988,211562,18190,21978,22315,0,209448,2114,211562,844390,256,965,2981,23648,1600
scan128_b700_rho6000,RTL-LS-002,0,3,2,4,128,1,2048,4096,65536,1000000,6000000,700,326,128,4096,2048,4096,4096,1,1,10067,5989933,17,17,1545720689,250109,38203,211906,17787,21921,22398,0,209393,2513,211906,847254,256,948,3000,23196,1714
scan128_b700_rho6000,RTL-LS-002,0,3,3,4,128,1,2048,4096,65536,1000000,6000000,700,326,128,4096,2048,4096,4096,1,1,10067,5989933,17,17,1545720689,249977,40054,209923,18348,22445,22294,0,208313,1610,209923,839769,256,883,3028,24235,1672
scan128_b600_rho6000,RTL-LS-002,0,3,0,4,128,1,2048,4096,65536,1000000,6000000,600,326,128,4096,2048,4096,4096,1,1,44118,5955882,9,9,1545695089,250563,35125,215438,18317,17374,25545,0,213794,1644,215438,859815,256,967,4464,24128,2203
scan128_b600_rho6000,RTL-LS-002,0,3,1,4,128,1,2048,4096,65536,1000000,6000000,600,326,128,4096,2048,4096,4096,1,1,44118,5955882,9,9,1545695089,247900,35023,212877,18385,17352,25329,0,210965,1912,212877,858721,256,995,4465,24093,2132
scan128_b600_rho6000,RTL-LS-002,0,3,2,4,128,1,2048,4096,65536,1000000,6000000,600,326,128,4096,2048,4096,4096,1,1,44118,5955882,9,9,1545695089,247799,32214,215585,17881,14877,25852,0,213826,1759,215585,869999,256,951,4695,24201,2257
scan128_b600_rho6000,RTL-LS-002,0,3,3,4,128,1,2048,4096,65536,1000000,6000000,600,326,128,4096,2048,4096,4096,1,1,44118,5955882,9,9,1545695089,250298,36116,214182,18258,18229,25348,0,212587,1595,214182,855707,256,992,4565,24299,2255
scan128_b500_rho6000,RTL-LS-002,0,3,0,4,128,1,2048,4096,65536,1000000,6000000,500,326,128,4096,2048,4096,4096,1,1,0,6000000,5,5,1545669489,249565,22525,227040,15995,6810,30263,0,222405,4635,227040,909742,256,1013,4556,20656,2533
scan128_b500_rho6000,RTL-LS-002,0,3,1,4,128,1,2048,4096,65536,1000000,6000000,500,326,128,4096,2048,4096,4096,1,1,0,6000000,5,5,1545669489,249860,22440,227420,16055,6810,30395,0,222820,4600,227420,910189,256,973,4675,20729,2458
scan128_b500_rho6000,RTL-LS-002,0,3,2,4,128,1,2048,4096,65536,1000000,6000000,500,326,128,4096,2048,4096,4096,1,1,0,6000000,5,5,1545669489,249565,22780,226785,16025,7230,30173,0,222110,4675,226785,908721,256,1015,4696,20670,2534
scan128_b500_rho6000,RTL-LS-002,0,3,3,4,128,1,2048,4096,65536,1000000,6000000,500,326,128,4096,2048,4096,4096,1,1,0,6000000,5,5,1545669489,251805,21550,230255,15125,6705,30485,0,224845,5410,230255,914417,256,933,4372,19738,2413
scan128_b403_rho6000,RTL-LS-002,0,3,0,4,128,1,2048,4096,65536,1000000,6000000,403,326,128,4096,2048,4096,4096,1,1,452899,5547101,4,4,1545644657,249950,14779,235171,14755,24,35848,0,226102,9069,235171,940872,256,1013,5034,17902,2116
scan128_b403_rho6000,RTL-LS-002,0,3,1,4,128,1,2048,4096,65536,1000000,6000000,403,326,128,4096,2048,4096,4096,1,1,452899,5547101,4,4,1545644657,250511,15225,235286,15127,98,35848,0,226824,8462,235286,939224,256,965,5158,18456,2075
scan128_b403_rho6000,RTL-LS-002,0,3,2,4,128,1,2048,4096,65536,1000000,6000000,403,326,128,4096,2048,4096,4096,1,1,452899,5547101,4,4,1545644657,251194,15037,236157,14974,63,35743,0,227558,8599,236157,940137,256,978,5295,18300,2109
scan128_b403_rho6000,RTL-LS-002,0,3,3,4,128,1,2048,4096,65536,1000000,6000000,403,326,128,4096,2048,4096,4096,1,1,452899,5547101,4,4,1545644657,251164,15015,236149,14895,120,35834,0,227443,8706,236149,940218,256,962,5257,18276,2107
scan128_b300_rho6000,RTL-LS-002,0,3,0,4,128,1,2048,4096,65536,1000000,6000000,300,326,128,4096,2048,4096,4096,1,1,1045872,4954128,3,3,1545618289,250662,14783,235879,14601,182,38062,0,224011,11868,235879,941024,256,1021,5443,18152,2073
scan128_b300_rho6000,RTL-LS-002,0,3,1,4,128,1,2048,4096,65536,1000000,6000000,300,326,128,4096,2048,4096,4096,1,1,1045872,4954128,3,3,1545618289,248105,14873,233232,14851,22,38029,0,221538,11694,233232,940053,256,1011,5576,18245,2057
scan128_b300_rho6000,RTL-LS-002,0,3,2,4,128,1,2048,4096,65536,1000000,6000000,300,326,128,4096,2048,4096,4096,1,1,1045872,4954128,3,3,1545618289,250562,14630,235932,14514,116,37991,0,224160,11772,235932,941611,256,1014,5752,18081,2056
