run_tag,case,sim_pass,n_lane,n_shd,egress_symbols_per_beat,ready_duty_ppm,rho_ppm,burstiness_milli,lane,sample_idx,frame_ts,proxy_ingress_ts,ingress_debug_ts,egress_debug_ts,delta_arrival_cycles,delta_egress_cycles,proxy_cycles,debug_delta_cycles
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,0,0,0,0,4096,576,4096,576,576,-3520
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,1,0,0,0,4128,576,4128,576,576,-3552
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,2,0,0,0,4160,576,4160,576,576,-3584
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,3,0,0,0,4192,576,4192,576,576,-3616
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,0,1,2048,2048,6144,4688,4096,2640,2640,-1456
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,1,1,2048,2048,6176,4688,4128,2640,2640,-1488
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,2,1,2048,2048,6208,4688,4160,2640,2640,-1520
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,3,1,2048,2048,6240,4688,4192,2640,2640,-1552
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,0,2,4096,4096,8192,4704,4096,608,608,-3488
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,1,2,4096,4096,8224,4704,4128,608,608,-3520
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,2,2,4096,4096,8256,4704,4160,608,608,-3552
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,3,2,4096,4096,8288,4704,4192,608,608,-3584
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,0,3,6144,6144,10240,8816,4096,2672,2672,-1424
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,1,3,6144,6144,10272,8816,4128,2672,2672,-1456
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,2,3,6144,6144,10304,8816,4160,2672,2672,-1488
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,3,3,6144,6144,10336,8816,4192,2672,2672,-1520
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,0,4,8192,8192,12288,8832,4096,640,640,-3456
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,1,4,8192,8192,12320,8832,4128,640,640,-3488
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,2,4,8192,8192,12352,8832,4160,640,640,-3520
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,3,4,8192,8192,12384,8832,4192,640,640,-3552
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,0,5,10240,10240,14336,12944,4096,2704,2704,-1392
ls002_rho005,RTL-LS-002,1,4,128,1,1000000,5000,0,1,5,10240,10240,14368,12944,4128,2704,2704,-1424
