run_tag,case,sim_pass,n_lane,n_shd,egress_symbols_per_beat,lane_fifo_depth,ticket_fifo_depth,frame_launch_period_cycles,ready_duty,rho_unit,rho_lane,link_utilization,source_word_utilization,merged_output_utilization,hits_per_subheader_per_lane,persistent_knee_rho_lane,above_persistent_knee,persistent_loss_floor,opq_80pct_lossless_target_rho,burstiness,expected_hits,accepted_hits,dropped_hits,delivered_hits,unexplained_hits,controlled_loss_hit_count,asserted_loss_hit_count,end_to_end_missing_hit_count,inferred_missing_hit_count,loss_tier,loss_probability,loss_ppm
scan128_b000_rho0100,RTL-LS-002,0,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.1,0.003125,0.03583984375,0.04521484375,0.1,7.73828125,0,0.0,6.190625000000001,0.0,1000815,111712,889103,100436,11494,889103,0,900379,11494,mixed,0.8883789711385222,888379
scan128_b000_rho0200,RTL-LS-002,0,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.2,0.00625,0.03896484375,0.05771484375,0.2,7.73828125,0,0.0,6.190625000000001,0.0,1000291,121555,878736,109169,13044,878736,0,891122,13044,mixed,0.8784803622145956,878480
scan128_b000_rho0300,RTL-LS-002,0,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.3,0.009375,0.04208984375,0.07021484375,0.3,7.73828125,0,0.0,6.190625000000001,0.0,999860,122698,877162,110466,12971,877162,0,889394,12971,mixed,0.8772848198747825,877285
scan128_b000_rho0400,RTL-LS-002,0,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.4,0.0125,0.04521484375,0.08271484375,0.4,7.73828125,0,0.0,6.190625000000001,0.0,998976,134294,864682,119134,16102,864682,0,879842,16102,mixed,0.8655683419821898,865568
scan128_b000_rho0500,RTL-LS-002,0,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.5,0.015625,0.04833984375,0.09521484375,0.5,7.73828125,0,0.0,6.190625000000001,0.0,1000968,142474,858494,123201,20505,858494,0,877767,20505,mixed,0.8576637814595471,857664
scan128_b000_rho0600,RTL-LS-002,0,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.6,0.01875,0.05146484375,0.10771484375,0.6,7.73828125,0,0.0,6.190625000000001,0.0,1000319,135131,865188,101406,34250,865188,0,898913,34250,mixed,0.8649120930423195,864912
scan128_b000_rho0750,RTL-LS-002,0,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.75,0.0234375,0.05615234375,0.12646484375,0.75,7.73828125,0,0.0,6.190625000000001,0.0,1000420,105437,894983,81850,23845,894983,0,918570,23845,mixed,0.8946072649487216,894607
scan128_b000_rho0900,RTL-LS-002,0,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.9,0.028125,0.06083984375,0.14521484375,0.9,7.73828125,0,0.0,6.190625000000001,0.0,999894,106437,893457,80742,26100,893457,0,919152,26100,mixed,0.8935517164819471,893552
scan128_b000_rho1000,RTL-LS-002,0,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,1.0,0.03125,0.06396484375,0.15771484375,1.0,7.73828125,0,0.0,6.190625000000001,0.0,1001312,106432,894880,76844,30330,894880,0,924468,30330,mixed,0.8937074558179668,893707
scan128_b000_rho1200,RTL-LS-002,0,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,1.2,0.0375,0.07021484375,0.18271484375,1.2,7.73828125,0,0.0,6.190625000000001,0.0,1000197,106576,893621,75974,31438,893621,0,924223,31438,mixed,0.8934449913367066,893445
