run_tag,case,sim_pass,n_lane,n_shd,egress_symbols_per_beat,lane_fifo_depth,ticket_fifo_depth,frame_launch_period_cycles,ready_duty,rho_unit,rho_lane,link_utilization,source_word_utilization,merged_output_utilization,hits_per_subheader_per_lane,persistent_knee_rho_lane,above_persistent_knee,persistent_loss_floor,opq_80pct_lossless_target_rho,burstiness,expected_hits,accepted_hits,dropped_hits,delivered_hits,unexplained_hits,controlled_loss_hit_count,asserted_loss_hit_count,end_to_end_missing_hit_count,inferred_missing_hit_count,loss_tier,loss_probability,loss_ppm
marginal_b000_rho0600_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.6,0.01875,0.05146484375,0.10771484375,0.6,7.73828125,0,0.0,6.190625000000001,0.0,30643,30643,0,30643,0,0,0,0,0,-,0.0,0
marginal_b000_rho0620_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.62,0.019375,0.05208984375,0.11021484375,0.62,7.73828125,0,0.0,6.190625000000001,0.0,31752,31752,0,31752,0,0,0,0,0,-,0.0,0
marginal_b000_rho0640_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.64,0.02,0.052714843750000004,0.11271484375,0.64,7.73828125,0,0.0,6.190625000000001,0.0,32569,32569,0,32569,0,0,0,0,0,-,0.0,0
marginal_b000_rho0660_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.66,0.020625,0.053339843750000004,0.11521484375,0.66,7.73828125,0,0.0,6.190625000000001,0.0,34203,34203,0,34203,0,0,0,0,0,-,0.0,0
marginal_b000_rho0680_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.68,0.02125,0.053964843750000005,0.11771484375,0.68,7.73828125,0,0.0,6.190625000000001,0.0,34718,34718,0,34718,0,0,0,0,0,-,0.0,0
marginal_b000_rho0700_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.7,0.021875,0.05458984375,0.12021484375,0.7,7.73828125,0,0.0,6.190625000000001,0.0,35636,35636,0,35636,0,0,0,0,0,-,0.0,0
marginal_b000_rho0720_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.72,0.0225,0.05521484375,0.12271484375,0.72,7.73828125,0,0.0,6.190625000000001,0.0,36791,36791,0,36791,0,0,0,0,0,-,0.0,0
marginal_b000_rho0750_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.75,0.0234375,0.05615234375,0.12646484375,0.75,7.73828125,0,0.0,6.190625000000001,0.0,38420,38368,52,38368,0,52,0,52,0,controlled,0.001353461738677772,1353
marginal_b000_rho0800_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.8,0.025,0.05771484375,0.13271484375,0.8,7.73828125,0,0.0,6.190625000000001,0.0,41032,40317,715,40317,0,715,0,715,0,controlled,0.017425424059270812,17425
marginal_b000_rho0850_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.85,0.0265625,0.05927734375,0.13896484375,0.85,7.73828125,0,0.0,6.190625000000001,0.0,43387,42462,925,42462,0,925,0,925,0,controlled,0.021319750155576554,21320
marginal_b000_rho0900_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.9,0.028125,0.06083984375,0.14521484375,0.9,7.73828125,0,0.0,6.190625000000001,0.0,46019,44084,1935,44084,0,1935,0,1935,0,controlled,0.04204784980116908,42048
marginal_b000_rho0950_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.95,0.0296875,0.06240234375,0.15146484375,0.95,7.73828125,0,0.0,6.190625000000001,0.0,48440,45811,2629,45811,0,2629,0,2629,0,controlled,0.054273327828241125,54273
marginal_b000_rho1000_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,1.0,0.03125,0.06396484375,0.15771484375,1.0,7.73828125,0,0.0,6.190625000000001,0.0,51459,46782,4677,46782,0,4677,0,4677,0,controlled,0.09088789133096252,90888
marginal_b403_rho0600_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.6,0.01875,0.05146484375,0.10771484375,0.6,7.73828125,0,0.0,6.190625000000001,0.403,30629,30629,0,30629,0,0,0,0,0,-,0.0,0
marginal_b403_rho0620_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.62,0.019375,0.05208984375,0.11021484375,0.62,7.73828125,0,0.0,6.190625000000001,0.403,32012,32012,0,32012,0,0,0,0,0,-,0.0,0
marginal_b403_rho0640_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.64,0.02,0.052714843750000004,0.11271484375,0.64,7.73828125,0,0.0,6.190625000000001,0.403,32131,32131,0,32131,0,0,0,0,0,-,0.0,0
marginal_b403_rho0660_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.66,0.020625,0.053339843750000004,0.11521484375,0.66,7.73828125,0,0.0,6.190625000000001,0.403,33562,33562,0,33562,0,0,0,0,0,-,0.0,0
marginal_b403_rho0680_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.68,0.02125,0.053964843750000005,0.11771484375,0.68,7.73828125,0,0.0,6.190625000000001,0.403,34076,34076,0,34076,0,0,0,0,0,-,0.0,0
marginal_b403_rho0700_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.7,0.021875,0.05458984375,0.12021484375,0.7,7.73828125,0,0.0,6.190625000000001,0.403,35342,35342,0,35342,0,0,0,0,0,-,0.0,0
marginal_b403_rho0720_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.72,0.0225,0.05521484375,0.12271484375,0.72,7.73828125,0,0.0,6.190625000000001,0.403,36523,36523,0,36523,0,0,0,0,0,-,0.0,0
marginal_b403_rho0750_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.75,0.0234375,0.05615234375,0.12646484375,0.75,7.73828125,0,0.0,6.190625000000001,0.403,38524,38443,81,38443,0,81,0,81,0,controlled,0.0021025854013082754,2103
marginal_b403_rho0800_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.8,0.025,0.05771484375,0.13271484375,0.8,7.73828125,0,0.0,6.190625000000001,0.403,40681,40131,550,40131,0,550,0,550,0,controlled,0.013519824979720263,13520
marginal_b403_rho0850_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.85,0.0265625,0.05927734375,0.13896484375,0.85,7.73828125,0,0.0,6.190625000000001,0.403,43206,42410,796,42410,0,796,0,796,0,controlled,0.018423367124936352,18423
marginal_b403_rho0900_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.9,0.028125,0.06083984375,0.14521484375,0.9,7.73828125,0,0.0,6.190625000000001,0.403,46343,44680,1663,44680,0,1663,0,1663,0,controlled,0.035884599615907474,35885
marginal_b403_rho0950_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.95,0.0296875,0.06240234375,0.15146484375,0.95,7.73828125,0,0.0,6.190625000000001,0.403,48265,46701,1564,46701,0,1564,0,1564,0,controlled,0.032404433854760176,32404
marginal_b403_rho1000_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,1.0,0.03125,0.06396484375,0.15771484375,1.0,7.73828125,0,0.0,6.190625000000001,0.403,51718,48795,2923,48795,0,2923,0,2923,0,controlled,0.05651804014076337,56518
marginal_b700_rho0600_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.6,0.01875,0.05146484375,0.10771484375,0.6,7.73828125,0,0.0,6.190625000000001,0.7,30186,30186,0,30186,0,0,0,0,0,-,0.0,0
marginal_b700_rho0620_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.62,0.019375,0.05208984375,0.11021484375,0.62,7.73828125,0,0.0,6.190625000000001,0.7,31746,31746,0,31746,0,0,0,0,0,-,0.0,0
marginal_b700_rho0640_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.64,0.02,0.052714843750000004,0.11271484375,0.64,7.73828125,0,0.0,6.190625000000001,0.7,33735,33735,0,33735,0,0,0,0,0,-,0.0,0
marginal_b700_rho0660_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.66,0.020625,0.053339843750000004,0.11521484375,0.66,7.73828125,0,0.0,6.190625000000001,0.7,33433,33433,0,33433,0,0,0,0,0,-,0.0,0
marginal_b700_rho0680_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.68,0.02125,0.053964843750000005,0.11771484375,0.68,7.73828125,0,0.0,6.190625000000001,0.7,34637,34637,0,34637,0,0,0,0,0,-,0.0,0
marginal_b700_rho0700_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.7,0.021875,0.05458984375,0.12021484375,0.7,7.73828125,0,0.0,6.190625000000001,0.7,35967,35950,17,35950,0,17,0,17,0,controlled,0.0004726554897544972,473
marginal_b700_rho0720_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.72,0.0225,0.05521484375,0.12271484375,0.72,7.73828125,0,0.0,6.190625000000001,0.7,38140,38123,17,38123,0,17,0,17,0,controlled,0.0004457262716308338,446
marginal_b700_rho0750_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.75,0.0234375,0.05615234375,0.12646484375,0.75,7.73828125,0,0.0,6.190625000000001,0.7,38841,38382,459,38382,0,459,0,459,0,controlled,0.011817409438479956,11817
marginal_b700_rho0800_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.8,0.025,0.05771484375,0.13271484375,0.8,7.73828125,0,0.0,6.190625000000001,0.7,39764,39713,51,39713,0,51,0,51,0,controlled,0.001282567146162358,1283
marginal_b700_rho0850_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.85,0.0265625,0.05927734375,0.13896484375,0.85,7.73828125,0,0.0,6.190625000000001,0.7,42089,41749,340,41749,0,340,0,340,0,controlled,0.008078120173917175,8078
marginal_b700_rho0900_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.9,0.028125,0.06083984375,0.14521484375,0.9,7.73828125,0,0.0,6.190625000000001,0.7,46352,45502,850,45502,0,850,0,850,0,controlled,0.018337935795650673,18338
marginal_b700_rho0950_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.95,0.0296875,0.06240234375,0.15146484375,0.95,7.73828125,0,0.0,6.190625000000001,0.7,49395,46997,2398,46997,0,2398,0,2398,0,controlled,0.0485474238283227,48547
marginal_b700_rho1000_f100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,1.0,0.03125,0.06396484375,0.15771484375,1.0,7.73828125,0,0.0,6.190625000000001,0.7,51424,48381,3043,48381,0,3043,0,3043,0,controlled,0.05917470441817051,59175
