run_tag,case,sim_pass,profile,lane,n_lane,n_shd,egress_symbols_per_beat,lane_fifo_depth,ticket_fifo_depth,page_ram_depth,ready_duty_ppm,rho_ppm,burstiness_milli,frame_count,subheaders_per_frame,inter_frame_gap_cycles,frame_ts_step_ticks,frame_launch_period_cycles,feb_header_latency_cycles,hit_period,hit_count,noise_rho_ppm,cluster_rho_ppm,cluster_size_min,cluster_size_max,rng_seed,expected_hits,accepted_hits,dropped_hits,delivered_hits,unexplained_hits,drop_events,hdr_drop_events,pre_drop_hits,post_drop_hits,monitor_dropped_hits,loss_ppm,drr_allowance,drr_quantum,drr_grants,drr_beats,drr_defers
marginal_b700_rho1000_f100_period4096,RTL-LS-002,1,3,0,4,128,1,2048,4096,65536,1000000,1000000,700,100,128,4096,2048,4096,4096,1,1,1678,998322,17,17,1545752553,13055,12613,442,12613,0,24,0,442,0,442,33856,256,706,1442,13370,73
marginal_b700_rho1000_f100_period4096,RTL-LS-002,1,3,1,4,128,1,2048,4096,65536,1000000,1000000,700,100,128,4096,2048,4096,4096,1,1,1678,998322,17,17,1545752553,12455,11690,765,11690,0,41,0,765,0,765,61421,256,737,1363,12424,48
marginal_b700_rho1000_f100_period4096,RTL-LS-002,1,3,2,4,128,1,2048,4096,65536,1000000,1000000,700,100,128,4096,2048,4096,4096,1,1,1678,998322,17,17,1545752553,12923,12141,782,12141,0,46,0,782,0,782,60512,256,413,1415,12885,54
marginal_b700_rho1000_f100_period4096,RTL-LS-002,1,3,3,4,128,1,2048,4096,65536,1000000,1000000,700,100,128,4096,2048,4096,4096,1,1,1678,998322,17,17,1545752553,12991,11937,1054,11937,0,60,0,1054,0,1054,81133,256,163,1398,12675,51
marginal_b403_rho1000_f100_period4096,RTL-LS-002,1,3,0,4,128,1,2048,4096,65536,1000000,1000000,403,100,128,4096,2048,4096,4096,1,1,75483,924517,4,4,1545676521,12936,12237,699,12237,0,172,0,699,0,699,54035,256,949,5851,15553,189
marginal_b403_rho1000_f100_period4096,RTL-LS-002,1,3,1,4,128,1,2048,4096,65536,1000000,1000000,403,100,128,4096,2048,4096,4096,1,1,75483,924517,4,4,1545676521,13230,12507,723,12507,0,190,0,723,0,723,54648,256,424,6110,15796,56
marginal_b403_rho1000_f100_period4096,RTL-LS-002,1,3,2,4,128,1,2048,4096,65536,1000000,1000000,403,100,128,4096,2048,4096,4096,1,1,75483,924517,4,4,1545676521,12752,12003,749,12003,0,180,0,749,0,749,58735,256,908,6245,15327,127
marginal_b403_rho1000_f100_period4096,RTL-LS-002,1,3,3,4,128,1,2048,4096,65536,1000000,1000000,403,100,128,4096,2048,4096,4096,1,1,75483,924517,4,4,1545676521,12800,12048,752,12048,0,182,0,752,0,752,58750,256,1017,6330,15537,223
marginal_b000_rho1000_f100_period4096,RTL-LS-002,1,3,0,4,128,1,2048,4096,65536,1000000,1000000,0,100,128,4096,2048,4096,4096,1,1,1000000,0,1,1,1545573353,12906,11753,1153,11753,0,800,0,1003,150,1153,89338,256,999,13545,19242,1034
marginal_b000_rho1000_f100_period4096,RTL-LS-002,1,3,1,4,128,1,2048,4096,65536,1000000,1000000,0,100,128,4096,2048,4096,4096,1,1,1000000,0,1,1,1545573353,12866,11744,1122,11744,0,805,0,936,186,1122,87206,256,631,14017,19186,52
