run_tag,case,sim_pass,n_lane,n_shd,egress_symbols_per_beat,lane_fifo_depth,ticket_fifo_depth,frame_launch_period_cycles,ready_duty,rho_unit,rho_lane,link_utilization,source_word_utilization,merged_output_utilization,hits_per_subheader_per_lane,persistent_knee_rho_lane,above_persistent_knee,persistent_loss_floor,opq_80pct_lossless_target_rho,burstiness,expected_hits,accepted_hits,dropped_hits,delivered_hits,unexplained_hits,controlled_loss_hit_count,asserted_loss_hit_count,end_to_end_missing_hit_count,inferred_missing_hit_count,loss_tier,loss_probability,loss_ppm
boundary_b000_rho100_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.1,0.003125,0.03583984375,0.04521484375,0.1,7.73828125,0,0.0,6.190625000000001,0.0,3181,3181,0,3181,0,0,0,0,0,-,0.0,0
boundary_b000_rho150_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.15,0.0046875,0.03740234375,0.05146484375,0.15,7.73828125,0,0.0,6.190625000000001,0.0,4874,4874,0,4874,0,0,0,0,0,-,0.0,0
boundary_b000_rho200_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.2,0.00625,0.03896484375,0.05771484375,0.2,7.73828125,0,0.0,6.190625000000001,0.0,6694,6694,0,6694,0,0,0,0,0,-,0.0,0
boundary_b000_rho300_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.3,0.009375,0.04208984375,0.07021484375,0.3,7.73828125,0,0.0,6.190625000000001,0.0,9831,9831,0,9831,0,0,0,0,0,-,0.0,0
boundary_b000_rho350_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.35,0.0109375,0.04365234375,0.07646484375,0.35,7.73828125,0,0.0,6.190625000000001,0.0,11412,11412,0,11412,0,0,0,0,0,-,0.0,0
boundary_b000_rho400_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.4,0.0125,0.04521484375,0.08271484375,0.4,7.73828125,0,0.0,6.190625000000001,0.0,13039,13039,0,13039,0,0,0,0,0,-,0.0,0
boundary_b000_rho500_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.5,0.015625,0.04833984375,0.09521484375,0.5,7.73828125,0,0.0,6.190625000000001,0.0,16363,16363,0,16363,0,0,0,0,0,-,0.0,0
boundary_b000_rho600_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.6,0.01875,0.05146484375,0.10771484375,0.6,7.73828125,0,0.0,6.190625000000001,0.0,19735,19735,0,19735,0,0,0,0,0,-,0.0,0
boundary_b403_rho200_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.2,0.00625,0.03896484375,0.05771484375,0.2,7.73828125,0,0.0,6.190625000000001,0.403,6705,6705,0,6705,0,0,0,0,0,-,0.0,0
boundary_b403_rho300_period4096,RTL-LS-002,1,4,128,1,2048,4096,4096,1.0,hits_per_subheader_per_lane,0.3,0.009375,0.04208984375,0.07021484375,0.3,7.73828125,0,0.0,6.190625000000001,0.403,9758,9758,0,9758,0,0,0,0,0,-,0.0,0
