run_tag,case,sim_pass,profile,lane,n_lane,n_shd,egress_symbols_per_beat,ready_duty_ppm,rho_ppm,burstiness_milli,frame_count,subheaders_per_frame,hit_period,hit_count,expected_hits,accepted_hits,dropped_hits,delivered_hits,unexplained_hits,loss_ppm,drr_allowance,drr_quantum,drr_grants,drr_beats,drr_defers
ls005_n4_e2,RTL-LS-005,1,0,0,4,128,2,1000000,7500,0,8,32,4,2,4,4,0,4,0,0,256,252,4,6,0
ls005_n4_e2,RTL-LS-005,1,0,1,4,128,2,1000000,7500,0,8,32,4,2,4,4,0,4,0,0,256,252,4,6,0
ls005_n4_e2,RTL-LS-005,1,0,2,4,128,2,1000000,7500,0,8,32,4,2,4,4,0,4,0,0,256,252,4,6,0
ls005_n4_e2,RTL-LS-005,1,0,3,4,128,2,1000000,7500,0,8,32,4,2,4,4,0,0,4,0,256,256,0,0,0
ls005_n8_e1,RTL-LS-005,1,0,0,8,128,1,1000000,7500,0,5,24,4,2,4,4,0,4,0,0,256,252,4,6,0
ls005_n8_e1,RTL-LS-005,1,0,1,8,128,1,1000000,7500,0,5,24,4,2,2,2,0,2,0,0,256,254,2,3,0
ls005_n8_e1,RTL-LS-005,1,0,2,8,128,1,1000000,7500,0,5,24,4,2,2,2,0,2,0,0,256,510,3,5,1
ls005_n8_e1,RTL-LS-005,1,0,3,8,128,1,1000000,7500,0,5,24,4,2,2,2,0,2,0,0,256,510,3,4,1
ls005_n8_e1,RTL-LS-005,1,0,4,8,128,1,1000000,7500,0,5,24,4,2,4,4,0,4,0,0,256,252,4,6,0
ls005_n8_e1,RTL-LS-005,1,0,5,8,128,1,1000000,7500,0,5,24,4,2,2,2,0,2,0,0,256,254,2,3,0
ls005_n8_e1,RTL-LS-005,1,0,6,8,128,1,1000000,7500,0,5,24,4,2,2,2,0,2,0,0,256,254,2,3,0
ls005_n8_e1,RTL-LS-005,1,0,7,8,128,1,1000000,7500,0,5,24,4,2,2,2,0,0,2,0,256,256,0,0,0
