run_tag,case,sim_pass,burstiness,memory_index,traffic_regime,rho_lane,loss_probability
scan128_b000_rho0100,RTL-LS-002,0,0.0,0.0,periodic_whole_frame,0.1,0.8883789711385222
scan128_b000_rho0200,RTL-LS-002,0,0.0,0.0,periodic_whole_frame,0.2,0.8784803622145956
scan128_b000_rho0300,RTL-LS-002,0,0.0,0.0,periodic_whole_frame,0.3,0.8772848198747825
scan128_b000_rho0400,RTL-LS-002,0,0.0,0.0,periodic_whole_frame,0.4,0.8655683419821898
scan128_b000_rho0500,RTL-LS-002,0,0.0,0.0,periodic_whole_frame,0.5,0.8576637814595471
scan128_b000_rho0600,RTL-LS-002,0,0.0,0.0,periodic_whole_frame,0.6,0.8649120930423195
scan128_b000_rho0750,RTL-LS-002,0,0.0,0.0,periodic_whole_frame,0.75,0.8946072649487216
scan128_b000_rho0900,RTL-LS-002,0,0.0,0.0,periodic_whole_frame,0.9,0.8935517164819471
scan128_b000_rho1000,RTL-LS-002,0,0.0,0.0,periodic_whole_frame,1.0,0.8937074558179668
scan128_b000_rho1200,RTL-LS-002,0,0.0,0.0,periodic_whole_frame,1.2,0.8934449913367066
scan128_b000_rho1500,RTL-LS-002,0,0.0,0.0,periodic_whole_frame,1.5,0.8895451960944003
scan128_b000_rho2000,RTL-LS-002,0,0.0,0.0,periodic_whole_frame,2.0,0.9107731943824009
scan128_b000_rho3000,RTL-LS-002,1,0.0,0.0,periodic_whole_frame,3.0,0.940510605482446
scan128_b000_rho4000,RTL-LS-002,1,0.0,0.0,periodic_whole_frame,4.0,0.9546719368062834
scan128_b000_rho6000,RTL-LS-002,1,0.0,0.0,periodic_whole_frame,6.0,0.9561547949798812
scan128_b000_rho8000,RTL-LS-002,0,0.0,0.0,periodic_whole_frame,8.0,0.9481956163219127
scan128_b100_rho0100,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,0.1,0.8817510034209923
scan128_b100_rho0200,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,0.2,0.8712827878903141
scan128_b100_rho0300,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,0.3,0.8777660579800679
scan128_b100_rho0400,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,0.4,0.8746708673120798
scan128_b100_rho0500,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,0.5,0.8650358216637771
scan128_b100_rho0600,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,0.6,0.8640719174174746
scan128_b100_rho0750,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,0.75,0.877419122688827
scan128_b100_rho0900,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,0.9,0.887434893030864
scan128_b100_rho1000,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,1.0,0.8955867660812533
scan128_b100_rho1200,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,1.2,0.8918972930357948
scan128_b100_rho1500,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,1.5,0.9005012300369412
scan128_b100_rho2000,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,2.0,0.8967514573079222
scan128_b100_rho3000,RTL-LS-002,1,0.1,0.0,periodic_whole_frame,3.0,0.9326377779555272
scan128_b100_rho4000,RTL-LS-002,1,0.1,0.0,periodic_whole_frame,4.0,0.9493117376564629
scan128_b100_rho6000,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,6.0,0.9515593941529833
scan128_b100_rho8000,RTL-LS-002,0,0.1,0.0,periodic_whole_frame,8.0,0.9489946355291954
scan128_b200_rho0100,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,0.1,0.8894845870575545
scan128_b200_rho0200,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,0.2,0.8737751820367052
scan128_b200_rho0300,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,0.3,0.8721020077306415
scan128_b200_rho0400,RTL-LS-002,0,0.2,0.0,periodic_whole_frame,0.4,0.8536862083213693
