run_tag,component,status,metric,rtl_value,tlm_value,compared,mismatches,threshold,discrepancy,notes
marginal_b000_rho0750_f100_period4096,ingress_lane_fifo,NOT_CHECKED,raw_subheader_ticket_decision,-,51200,0,0,0.01,-,RTL log has no opq_ing_credit trace; rerun with +OPQ_NATIVE_TRACE_BOUNDARY
marginal_b000_rho0750_f100_period4096,ticket_drop_control,DEBUG,controlled_pre_post_drop_hits_by_serial_lane,0,39,2,39,0.01,39,pre/post key_count=2 hit_delta_sum=39
marginal_b000_rho0750_f100_period4096,page_allocator_handle_fifo,NOT_CHECKED,handle_accept_hits_by_lane_timestamp,-,38550,0,0,0.01,-,RTL log has no handle_we trace; rerun with +OPQ_NATIVE_TRACE_BOUNDARY
marginal_b000_rho0750_f100_period4096,page_allocator_state_trace,NOT_CHECKED,rtl_wait_samples,-,100,0,0,0.01,-,RTL log has no opq_pa state trace; rerun with +OPQ_NATIVE_TRACE_BOUNDARY
marginal_b000_rho0750_f100_period4096,frame_table_header_ledger,PASS,wr_hdr,100,100,1,0,0.01,0,rtl_rd_hdr=100 rtl_drop_hdr=0
marginal_b000_rho0750_f100_period4096,frame_table_subheader_ledger,DEBUG,wr_shd,12196,12800,1,604,0.01,0.049524434,rtl_rd_shd=12196 rtl_drop_shd=0
marginal_b000_rho0750_f100_period4096,frame_table_hit_ledger,PASS,rd_plus_drop_hit,38368,38550,1,0,0.01,0.0047435363,rtl_ft_drop_hit=0 tlm_ft_drop_hit=0 tlm_wr_hit=38550
marginal_b000_rho0750_f100_period4096,transaction_bucket_order,DEBUG,OPQ_TXN_deliver_bucket_count_and_order,38368,38550,38368,24560,0.01,0.0047435363,missing_bucket=12371 extra_bucket=12189 bucket_order_violations=0
marginal_b000_rho0750_f100_period4096,transaction_word_identity,DEBUG,OPQ_TXN_deliver_word_identity,38368,38550,38368,45262,0.01,0.0047435363,missing_word=22722 extra_word=22540
marginal_b000_rho0750_f100_period4096,collective_loss,DEBUG,dropped_hits,52,39,38420,13,0.01,0.25,rtl_expected=38420 rtl_uvm_clean=1 tlm_pre=39 tlm_post=0 tlm_ft=0
marginal_b000_rho0800_f100_period4096,ingress_lane_fifo,DEBUG,raw_subheader_ticket_decision,51200,51200,51200,72020,0.01,0,missing_tlm=36010 extra_tlm=36010 key_count=70266
marginal_b000_rho0800_f100_period4096,ticket_drop_control,DEBUG,controlled_pre_post_drop_hits_by_serial_lane,715,452,25,519,0.01,0.36783217,pre/post key_count=25 hit_delta_sum=519
marginal_b000_rho0800_f100_period4096,page_allocator_handle_fifo,DEBUG,handle_accept_hits_by_lane_timestamp,40317,40727,26537,80532,0.01,0.010169407,rtl_handles=27740 tlm_handle_events=27954
marginal_b000_rho0800_f100_period4096,page_allocator_state_trace,PASS,rtl_wait_samples,514018,100,514018,0,0.01,0.99980545,"frame_wait=5 active_wait=0 ingress_busy=21729 future_only=258364 top_states=[(20, 76800), (21, 76800), (0, 19604), (2, 19300), (3, 19300)]"
marginal_b000_rho0800_f100_period4096,frame_table_header_ledger,DEBUG,wr_hdr,99,100,1,1,0.01,0.01010101,rtl_rd_hdr=99 rtl_drop_hdr=0
marginal_b000_rho0800_f100_period4096,frame_table_subheader_ledger,DEBUG,wr_shd,12119,12800,1,681,0.01,0.056192755,rtl_rd_shd=12119 rtl_drop_shd=0
marginal_b000_rho0800_f100_period4096,frame_table_hit_ledger,DEBUG,rd_plus_drop_hit,40317,40727,1,410,0.01,0.010169407,rtl_ft_drop_hit=0 tlm_ft_drop_hit=0 tlm_wr_hit=40727
marginal_b000_rho0800_f100_period4096,transaction_bucket_order,NOT_CHECKED,OPQ_TXN_deliver_bucket_identity,-,40727,0,0,0.01,-,RTL log has no OPQ_TXN deliver trace; rerun with +OPQ_TRACE_TXN for packet-order closure
marginal_b000_rho0800_f100_period4096,collective_loss,DEBUG,dropped_hits,715,452,41032,263,0.01,0.36783217,rtl_expected=41032 rtl_uvm_clean=1 tlm_pre=452 tlm_post=0 tlm_ft=0
marginal_b403_rho0750_f100_period4096,ingress_lane_fifo,DEBUG,raw_subheader_ticket_decision,51200,51200,51200,62202,0.01,0,missing_tlm=31101 extra_tlm=31101 key_count=55501
marginal_b403_rho0750_f100_period4096,ticket_drop_control,DEBUG,controlled_pre_post_drop_hits_by_serial_lane,81,177,6,218,0.01,1.1851852,pre/post key_count=6 hit_delta_sum=218
marginal_b403_rho0750_f100_period4096,page_allocator_handle_fifo,PASS,handle_accept_hits_by_lane_timestamp,38443,38478,15270,76599,0.01,0.00091043883,rtl_handles=10517 tlm_handle_events=11360
