run_tag,component,status,metric,rtl_value,tlm_value,compared,mismatches,threshold,discrepancy,notes
component_b000_rho0750_f0261_seed7101,ingress_lane_fifo,DEBUG,raw_subheader_ticket_decision,133632,133632,133632,196550,0.01,0,missing_tlm=98275 extra_tlm=98275 key_count=186568
component_b000_rho0750_f0261_seed7101,ticket_drop_control,DEBUG,controlled_pre_post_drop_hits_by_serial_lane,39322,28805,855,31043,0.01,0.26745842,pre/post key_count=855 hit_delta_sum=31043
component_b000_rho0750_f0261_seed7101,page_allocator_handle_fifo,DEBUG,handle_accept_hits_by_lane_timestamp,58090,71817,45796,129397,0.01,0.23630573,rtl_handles=41058 tlm_handle_events=50664
component_b000_rho0750_f0261_seed7101,page_allocator_state_trace,PASS,rtl_wait_samples,1240693,242,1240693,0,0.01,0.99980495,"frame_wait=5 active_wait=0 ingress_busy=49436 future_only=791325 top_states=[(20, 186960), (21, 186960), (0, 47577), (2, 46994), (3, 46994)]"
component_b000_rho0750_f0261_seed7101,frame_table_header_ledger,DEBUG,wr_hdr,192,242,1,50,0.01,0.26041667,rtl_rd_hdr=192 rtl_drop_hdr=0
component_b000_rho0750_f0261_seed7101,frame_table_subheader_ledger,DEBUG,wr_shd,19206,30976,1,11770,0.01,0.61282932,rtl_rd_shd=19206 rtl_drop_shd=0
component_b000_rho0750_f0261_seed7101,frame_table_hit_ledger,DEBUG,rd_plus_drop_hit,58090,71817,1,13727,0.01,0.23630573,rtl_ft_drop_hit=0 tlm_ft_drop_hit=0 tlm_wr_hit=71817
component_b000_rho0750_f0261_seed7101,transaction_bucket_order,DEBUG,OPQ_TXN_deliver_bucket_count_and_order,58090,71817,58090,56415,0.01,0.23630573,missing_bucket=35071 extra_bucket=21344 bucket_order_violations=0
component_b000_rho0750_f0261_seed7101,transaction_word_identity,DEBUG,OPQ_TXN_deliver_word_identity,58090,71817,58090,85585,0.01,0.23630573,missing_word=49656 extra_word=35929
component_b000_rho0750_f0261_seed7101,collective_loss,DEBUG,dropped_hits,39339,28805,100597,10534,0.01,0.26777498,rtl_expected=100597 rtl_uvm_clean=0 tlm_pre=25940 tlm_post=2865 tlm_ft=0
