run_tag,component,status,metric,rtl_value,tlm_value,compared,mismatches,threshold,discrepancy,notes
component_b000_rho0750_f0261_seed7101,ingress_lane_fifo,DEBUG,raw_subheader_ticket_decision,133632,133632,133632,57508,0.01,0,missing_tlm=28754 extra_tlm=28754 key_count=162386
component_b000_rho0750_f0261_seed7101,ticket_drop_control,DEBUG,controlled_pre_post_drop_hits_by_serial_lane,39322,38702,966,33794,0.01,0.015767255,pre/post key_count=966 hit_delta_sum=33794
component_b000_rho0750_f0261_seed7101,page_allocator_handle_fifo,DEBUG,handle_accept_hits_by_lane_timestamp,58090,61895,41100,119533,0.01,0.065501808,rtl_handles=41058 tlm_handle_events=43694
component_b000_rho0750_f0261_seed7101,page_allocator_state_trace,PASS,rtl_wait_samples,1240693,225,1240693,0,0.01,0.99981865,"frame_wait=5 active_wait=0 ingress_busy=49436 future_only=791325 top_states=[(20, 186960), (21, 186960), (0, 47577), (2, 46994), (3, 46994)]"
component_b000_rho0750_f0261_seed7101,frame_table_header_ledger,DEBUG,wr_hdr,192,225,1,33,0.01,0.171875,rtl_rd_hdr=192 rtl_drop_hdr=0
component_b000_rho0750_f0261_seed7101,frame_table_subheader_ledger,DEBUG,wr_shd,19206,28800,1,9594,0.01,0.4995314,rtl_rd_shd=19206 rtl_drop_shd=0
component_b000_rho0750_f0261_seed7101,frame_table_hit_ledger,DEBUG,rd_plus_drop_hit,58090,61895,1,3805,0.01,0.065501808,rtl_ft_drop_hit=0 tlm_ft_drop_hit=0 tlm_wr_hit=61895
component_b000_rho0750_f0261_seed7101,transaction_bucket_order,DEBUG,OPQ_TXN_deliver_bucket_count_and_order,58090,61895,58090,22617,0.01,0.065501808,missing_bucket=13211 extra_bucket=9406 bucket_order_violations=0
component_b000_rho0750_f0261_seed7101,transaction_word_identity,DEBUG,OPQ_TXN_deliver_word_identity,58090,61895,58090,22879,0.01,0.065501808,missing_word=13342 extra_word=9537
component_b000_rho0750_f0261_seed7101,collective_loss,DEBUG,dropped_hits,39339,38702,100597,637,0.01,0.016192582,rtl_expected=100597 rtl_uvm_clean=0 tlm_pre=34963 tlm_post=3739 tlm_ft=0
component_b000_rho0750_f0261_seed7101,ticket_drop_control_forced_ingress,DEBUG,controlled_pre_post_drop_hits_by_serial_lane,39322,23435,793,18261,0.01,0.40402319,pre/post key_count=793 hit_delta_sum=18261
component_b000_rho0750_f0261_seed7101,page_allocator_handle_fifo_forced_ingress,DEBUG,handle_accept_hits_by_lane_timestamp,58090,77162,48437,134804,0.01,0.32831813,rtl_handles=41058 tlm_handle_events=54392
component_b000_rho0750_f0261_seed7101,frame_table_header_ledger_forced_ingress,DEBUG,wr_hdr,192,252,1,60,0.01,0.3125,rtl_rd_hdr=192 rtl_drop_hdr=0
component_b000_rho0750_f0261_seed7101,frame_table_subheader_ledger_forced_ingress,DEBUG,wr_shd,19206,32256,1,13050,0.01,0.67947516,rtl_rd_shd=19206 rtl_drop_shd=0
component_b000_rho0750_f0261_seed7101,frame_table_hit_ledger_forced_ingress,DEBUG,rd_plus_drop_hit,58090,77162,1,19072,0.01,0.32831813,rtl_ft_drop_hit=0 tlm_ft_drop_hit=0 tlm_wr_hit=77162
component_b000_rho0750_f0261_seed7101,transaction_bucket_order_forced_ingress,DEBUG,OPQ_TXN_deliver_bucket_count_and_order,58090,77162,58090,20734,0.01,0.32831813,missing_bucket=19903 extra_bucket=831 bucket_order_violations=0
component_b000_rho0750_f0261_seed7101,transaction_word_identity_forced_ingress,DEBUG,OPQ_TXN_deliver_word_identity,58090,77162,58090,20784,0.01,0.32831813,missing_word=19928 extra_word=856
component_b000_rho0750_f0261_seed7101,collective_loss_forced_ingress,DEBUG,dropped_hits,39339,23435,100597,15904,0.01,0.40428074,forced_ingress_decisions rtl_expected=100597 rtl_uvm_clean=0 tlm_pre=21411 tlm_post=2024 tlm_ft=0
