run_tag,component,status,metric,rtl_value,tlm_value,compared,mismatches,threshold,discrepancy,notes
component_b000_rho0750_f0261_seed7101,ingress_source_ticket_stream,PASS,raw_subheader_ticket_identity,133632,133632,133632,0,0.01,0,source_missing_tlm=0 source_extra_tlm=0
component_b000_rho0750_f0261_seed7101,ingress_lane_fifo,DEBUG,raw_subheader_ticket_decision,133632,133632,133632,59068,0.01,0,missing_tlm=29534 extra_tlm=29534 key_count=163166
component_b000_rho0750_f0261_seed7101,ticket_drop_control,DEBUG,controlled_pre_post_drop_hits_by_serial_lane,35578,42167,1112,34885,0.01,0.18519872,exact_pre_post key_count=1112 hit_delta_sum=34885 rtl_aggregate_only_pre=3744 rtl_aggregate_only_post=0
component_b000_rho0750_f0261_seed7101,page_allocator_handle_fifo,PASS,handle_accept_hits_by_lane_timestamp,58090,58430,39876,26696,0.01,0.0058529867,rtl_handles=41058 rtl_accept_trace=1 tlm_handle_events=41342
component_b000_rho0750_f0261_seed7101,block_mover_credit_return,PASS,mover_done_credit_return_hits,58090,58430,24,498,0.01,0.0058529867,rtl_return_events=41058 tlm_return_events=41342
component_b000_rho0750_f0261_seed7101,page_allocator_lane_action_load,PASS,load_hits,58090,58430,187930,340,0.01,0.0058529867,"rtl_action_counts={0: 87632, 1: 1010, 2: 85888, 3: 13400}"
component_b000_rho0750_f0261_seed7101,page_allocator_lane_action_late_drop,DEBUG,late_drop_hits,6844,5297,187930,1547,0.01,0.22603741,"rtl_action_counts={0: 87632, 1: 1010, 2: 85888, 3: 13400}"
component_b000_rho0750_f0261_seed7101,page_allocator_ticket_visibility_net,DEBUG,ingress_accept_minus_predrop_hits,68073,63727,118311,25858,0.01,0.063843227,rtl_ingress_accept=95042 tlm_ingress_accept=63727 rtl_pa_action_extra=29 tlm_pa_action_extra=0
component_b000_rho0750_f0261_seed7101,page_allocator_ticket_visibility_unconsumed,DEBUG,net_ingress_not_seen_as_pa_load_or_late,3168,0,63250,3168,0.01,1,rtl_pa_ticket_seen=0 rtl_pa_ticket_curr_seen=0 rtl_pa_ticket_future_only=0 rtl_pa_ticket_never_seen=3168 rtl_keys=8455 tlm_keys=60099
component_b000_rho0750_f0261_seed7101,page_allocator_ticket_visibility_rtl_local_trace,PASS,pa_ticket_debug_samples,187930,-,187930,0,0.01,-,"f171/l3/shd27:hits=6,ticket={};f194/l0/shd79:hits=5,ticket={};f194/l3/shd48:hits=5,ticket={}"
