run_tag,sim_pass,burstiness,normalized_share_lane,persistent_bottleneck_share_lane,raw_rho_lane_hits_per_subheader,rho_ppm,rho_unit,burstiness_milli,n_lane,n_shd,egress_symbols_per_beat,lane_fifo_depth,ticket_fifo_depth,page_ram_depth,ready_duty_ppm,frame_count,subheaders_per_frame,frame_launch_period_cycles,frame_ts_step_ticks,noise_rho_ppm,cluster_rho_ppm,cluster_size_min,cluster_size_max,rng_seed,expected_hits,accepted_hits,dropped_hits,delivered_hits,unexplained_hits,loss_probability,loss_tier,persistent_loss_floor,merged_output_utilization
share_shallow_b000_s0245_rho07840_f0025_seedb001,1,0.0,0.245,0.25,7.84,7840000,hits_per_subheader_per_lane,0,4,128,1,2048,1024,65536,1000000,25,128,4096,2048,7840000,0,1,1,1545580545,100663,22624,78039,22624,0,0.7752500918907642,controlled,0.012974330357142839,1.01271484375
share_shallow_b000_s0250_rho08000_f0025_seedb002,0,0.0,0.25,0.25,8.0,8000000,hits_per_subheader_per_lane,0,4,128,1,2048,1024,65536,1000000,25,128,4096,2048,8000000,0,1,1,1545580546,102330,24087,78243,22306,1781,0.764614482556435,mixed,0.03271484375,1.03271484375
share_shallow_b000_s0270_rho08640_f0023_seedb003,0,0.0,0.27,0.25,8.64,8640000,hits_per_subheader_per_lane,0,4,128,1,2048,1024,65536,1000000,23,128,4096,2048,8640000,0,1,1,1545580547,101663,32289,69374,31511,778,0.6823918239674218,mixed,0.10436559606481488,1.11271484375
share_shallow_b000_s0300_rho09600_f0021_seedb004,0,0.0,0.3,0.25,9.6,9600000,hits_per_subheader_per_lane,0,4,128,1,2048,1024,65536,1000000,21,128,4096,2048,9600000,0,1,1,1545580548,103146,31115,72031,30405,710,0.6983402167800982,mixed,0.19392903645833331,1.23271484375
share_shallow_b403_s0245_rho07840_f0025_seedb005,0,0.403,0.245,0.25,7.84,7840000,hits_per_subheader_per_lane,403,4,128,1,2048,1024,65536,1000000,25,128,4096,2048,591788,7248212,4,4,1545580549,100078,33681,66397,33142,539,0.6634525070445053,mixed,0.012974330357142839,1.01271484375
share_shallow_b403_s0250_rho08000_f0025_seedb006,1,0.403,0.25,0.25,8.0,8000000,hits_per_subheader_per_lane,403,4,128,1,2048,1024,65536,1000000,25,128,4096,2048,603865,7396135,4,4,1545580550,102181,35103,67078,35103,0,0.6564625517464108,controlled,0.03271484375,1.03271484375
share_shallow_b403_s0270_rho08640_f0023_seedb007,1,0.403,0.27,0.25,8.64,8640000,hits_per_subheader_per_lane,403,4,128,1,2048,1024,65536,1000000,23,128,4096,2048,652175,7987825,4,4,1545580551,101763,29218,72545,29218,0,0.7128818922398121,controlled,0.10436559606481488,1.11271484375
share_shallow_b403_s0300_rho09600_f0021_seedb008,0,0.403,0.3,0.25,9.6,9600000,hits_per_subheader_per_lane,403,4,128,1,2048,1024,65536,1000000,21,128,4096,2048,724639,8875361,4,4,1545580552,102642,27332,75310,26453,879,0.7337152432727344,mixed,0.19392903645833331,1.23271484375
share_shallow_b700_s0245_rho07840_f0025_seedb009,1,0.7,0.245,0.25,7.84,7840000,hits_per_subheader_per_lane,700,4,128,1,2048,1024,65536,1000000,25,128,4096,2048,13154,7826846,17,17,1545580553,99510,44684,54826,44684,0,0.5509597025424581,controlled,0.012974330357142839,1.01271484375
share_shallow_b700_s0250_rho08000_f0025_seedb00a,1,0.7,0.25,0.25,8.0,8000000,hits_per_subheader_per_lane,700,4,128,1,2048,1024,65536,1000000,25,128,4096,2048,13423,7986577,17,17,1545580554,102115,43187,58928,43187,0,0.5770748665720021,controlled,0.03271484375,1.03271484375
share_shallow_b700_s0270_rho08640_f0023_seedb00b,1,0.7,0.27,0.25,8.64,8640000,hits_per_subheader_per_lane,700,4,128,1,2048,1024,65536,1000000,23,128,4096,2048,14497,8625503,17,17,1545580555,104155,41886,62269,41886,0,0.5978493591282223,controlled,0.10436559606481488,1.11271484375
share_shallow_b700_s0300_rho09600_f0021_seedb00c,1,0.7,0.3,0.25,9.6,9600000,hits_per_subheader_per_lane,700,4,128,1,2048,1024,65536,1000000,21,128,4096,2048,16107,9583893,17,17,1545580556,100743,42112,58631,42112,0,0.5819858451703841,controlled,0.19392903645833331,1.23271484375
