run_tag,sim_pass,burstiness,normalized_share_lane,persistent_bottleneck_share_lane,raw_rho_lane_hits_per_subheader,rho_ppm,rho_unit,burstiness_milli,n_lane,n_shd,egress_symbols_per_beat,lane_fifo_depth,ticket_fifo_depth,page_ram_depth,ready_duty_ppm,frame_count,subheaders_per_frame,frame_launch_period_cycles,frame_ts_step_ticks,noise_rho_ppm,cluster_rho_ppm,cluster_size_min,cluster_size_max,rng_seed,expected_hits,accepted_hits,dropped_hits,delivered_hits,unexplained_hits,loss_probability,loss_tier,persistent_loss_floor,merged_output_utilization
share_shallow_b000_s0180_rho05760_f0004_seeda001,1,0.0,0.18,0.25,5.76,5760000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,5760000,0,1,1,1545576449,11722,11722,0,11722,0,0.0,-,0.0,0.75271484375
share_shallow_b000_s0200_rho06400_f0004_seeda002,1,0.0,0.2,0.25,6.4,6400000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,6400000,0,1,1,1545576450,13132,13132,0,13132,0,0.0,-,0.0,0.83271484375
share_shallow_b000_s0220_rho07040_f0004_seeda003,1,0.0,0.22,0.25,7.04,7040000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,7040000,0,1,1,1545576451,14409,14409,0,14409,0,0.0,-,0.0,0.91271484375
share_shallow_b000_s0230_rho07360_f0004_seeda004,1,0.0,0.23,0.25,7.36,7360000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,7360000,0,1,1,1545576452,15032,15032,0,15032,0,0.0,-,0.0,0.95271484375
share_shallow_b000_s0235_rho07520_f0004_seeda005,1,0.0,0.235,0.25,7.52,7520000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,7520000,0,1,1,1545576453,15461,15461,0,15461,0,0.0,-,0.0,0.97271484375
share_shallow_b000_s0240_rho07680_f0004_seeda006,1,0.0,0.24,0.25,7.68,7680000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,7680000,0,1,1,1545576454,15559,15559,0,15559,0,0.0,-,0.0,0.99271484375
share_shallow_b000_s0242_rho07744_f0004_seeda007,1,0.0,0.242,0.25,7.744,7744000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,7744000,0,1,1,1545576455,15934,15934,0,15934,0,0.0,-,0.0007384749483470781,1.00071484375
share_shallow_b000_s0245_rho07840_f0004_seeda008,1,0.0,0.245,0.25,7.84,7840000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,7840000,0,1,1,1545576456,15769,15769,0,15769,0,0.0,-,0.012974330357142839,1.01271484375
share_shallow_b000_s0250_rho08000_f0004_seeda009,1,0.0,0.25,0.25,8.0,8000000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,8000000,0,1,1,1545576457,16300,16300,0,16300,0,0.0,-,0.03271484375,1.03271484375
share_shallow_b000_s0255_rho08160_f0004_seeda00a,1,0.0,0.255,0.25,8.16,8160000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,8160000,0,1,1,1545576458,16755,16755,0,16755,0,0.0,-,0.05168121936274511,1.05271484375
share_shallow_b000_s0260_rho08320_f0004_seeda00b,1,0.0,0.26,0.25,8.32,8320000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,8320000,0,1,1,1545576459,16924,16924,0,16924,0,0.0,-,0.06991811899038465,1.07271484375
share_shallow_b000_s0270_rho08640_f0004_seeda00c,1,0.0,0.27,0.25,8.64,8640000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,8640000,0,1,1,1545576460,17898,17898,0,17898,0,0.0,-,0.10436559606481488,1.11271484375
share_shallow_b000_s0280_rho08960_f0004_seeda00d,1,0.0,0.28,0.25,8.96,8960000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,8960000,0,1,1,1545576461,18268,18268,0,18268,0,0.0,-,0.13635253906250008,1.15271484375
share_shallow_b000_s0300_rho09600_f0004_seeda00e,1,0.0,0.3,0.25,9.6,9600000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,9600000,0,1,1,1545576462,20063,20063,0,20063,0,0.0,-,0.19392903645833331,1.23271484375
share_shallow_b000_s0340_rho10880_f0004_seeda00f,1,0.0,0.34,0.25,10.88,10880000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,10880000,0,1,1,1545576463,22391,22391,0,22391,0,0.0,-,0.2887609145220589,1.39271484375
share_shallow_b000_s0400_rho12800_f0004_seeda010,1,0.0,0.4,0.25,12.8,12800000,hits_per_subheader_per_lane,0,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,12800000,0,1,1,1545576464,26301,26301,0,26301,0,0.0,-,0.39544677734375006,1.63271484375
share_shallow_b100_s0180_rho05760_f0004_seeda011,1,0.1,0.18,0.25,5.76,5760000,hits_per_subheader_per_lane,100,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,3478812,2281188,2,2,1545576465,11772,11772,0,11772,0,0.0,-,0.0,0.75271484375
share_shallow_b100_s0200_rho06400_f0004_seeda012,1,0.1,0.2,0.25,6.4,6400000,hits_per_subheader_per_lane,100,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,3865347,2534653,2,2,1545576466,13246,13246,0,13246,0,0.0,-,0.0,0.83271484375
share_shallow_b100_s0220_rho07040_f0004_seeda013,1,0.1,0.22,0.25,7.04,7040000,hits_per_subheader_per_lane,100,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,4251881,2788119,2,2,1545576467,14376,14376,0,14376,0,0.0,-,0.0,0.91271484375
share_shallow_b100_s0230_rho07360_f0004_seeda014,1,0.1,0.23,0.25,7.36,7360000,hits_per_subheader_per_lane,100,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,4445149,2914851,2,2,1545576468,14835,14835,0,14835,0,0.0,-,0.0,0.95271484375
share_shallow_b100_s0235_rho07520_f0004_seeda015,1,0.1,0.235,0.25,7.52,7520000,hits_per_subheader_per_lane,100,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,4541782,2978218,2,2,1545576469,15419,15419,0,15419,0,0.0,-,0.0,0.97271484375
share_shallow_b100_s0240_rho07680_f0004_seeda016,1,0.1,0.24,0.25,7.68,7680000,hits_per_subheader_per_lane,100,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,4638416,3041584,2,2,1545576470,15585,15585,0,15585,0,0.0,-,0.0,0.99271484375
share_shallow_b100_s0242_rho07744_f0004_seeda017,1,0.1,0.242,0.25,7.744,7744000,hits_per_subheader_per_lane,100,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,4677069,3066931,2,2,1545576471,15537,15537,0,15537,0,0.0,-,0.0007384749483470781,1.00071484375
share_shallow_b100_s0245_rho07840_f0004_seeda018,1,0.1,0.245,0.25,7.84,7840000,hits_per_subheader_per_lane,100,4,128,1,8192,4096,65536,1000000,4,128,4096,2048,4735050,3104950,2,2,1545576472,16222,16222,0,16222,0,0.0,-,0.012974330357142839,1.01271484375
