run_tag,burstiness,rho_lane,rtl_loss,tlm_loss,loss_tier,label
share_shallow_b000_s0245_rho07840_f0004_seeda008,0.000000,0.245000,0.00000000,0.00000000,-,RTL10k clean 0.00% raw 7.84
share_shallow_b000_s0250_rho08000_f0004_seeda009,0.000000,0.250000,0.00000000,0.00000000,-,RTL10k clean 0.00% raw 8.00
share_shallow_b000_s0255_rho08160_f0004_seeda00a,0.000000,0.255000,0.00000000,0.00000000,-,RTL10k clean 0.00% raw 8.16
share_shallow_b100_s0245_rho07840_f0004_seeda018,0.100000,0.245000,0.00000000,0.00000000,-,RTL10k clean 0.00% raw 7.84
share_shallow_b100_s0250_rho08000_f0004_seeda019,0.100000,0.250000,0.00000000,0.00000000,-,RTL10k clean 0.00% raw 8.00
share_shallow_b100_s0255_rho08160_f0004_seeda01a,0.100000,0.255000,0.00000000,0.00000000,-,RTL10k clean 0.00% raw 8.16
share_shallow_b200_s0250_rho08000_f0004_seeda029,0.200000,0.250000,0.00000000,0.00000000,-,RTL10k clean 0.00% raw 8.00
share_shallow_b300_s0250_rho08000_f0004_seeda039,0.300000,0.250000,0.00000000,0.00000000,-,RTL10k clean 0.00% raw 8.00
share_shallow_b403_s0250_rho08000_f0004_seeda049,0.403000,0.250000,0.00000000,0.00000000,-,RTL10k clean 0.00% raw 8.00
share_shallow_b500_s0250_rho08000_f0004_seeda059,0.500000,0.250000,0.00000000,0.00000000,-,RTL10k clean 0.00% raw 8.00
share_shallow_b700_s0250_rho08000_f0004_seeda069,0.700000,0.250000,0.00000000,0.00000000,-,RTL10k clean 0.00% raw 8.00
share_shallow_b900_s0250_rho08000_f0004_seeda079,0.900000,0.250000,0.00000000,0.00000000,inferred,RTL10k inferred 0.00% raw 8.00
