run_tag,burstiness,rho_lane,rtl_loss,tlm_loss,label
share_shallow_b000_s0212_rho06784_f0029_seed9001,0.000000,0.212000,0.73409271,0.73409271,RTL 73.41% raw 6.78
share_shallow_b000_s0214_rho06848_f0029_seed9002,0.000000,0.214000,0.70015897,0.70015897,RTL 70.02% raw 6.85
share_shallow_b000_s0216_rho06912_f0029_seed9003,0.000000,0.216000,0.72003653,0.72003653,RTL 72.00% raw 6.91
share_shallow_b000_s0218_rho06976_f0028_seed9004,0.000000,0.218000,0.66665333,0.66665333,RTL 66.67% raw 6.98
share_shallow_b403_s0214_rho06848_f0029_seed9005,0.403000,0.214000,0.71008441,0.71008441,RTL 71.01% raw 6.85
share_shallow_b403_s0216_rho06912_f0029_seed9006,0.403000,0.216000,0.63703068,0.63703068,RTL 63.70% raw 6.91
share_shallow_b403_s0218_rho06976_f0028_seed9007,0.403000,0.218000,0.71655851,0.71655851,RTL 71.66% raw 6.98
share_shallow_b700_s0220_rho07040_f0028_seed9008,0.700000,0.220000,0.49006786,0.49006786,RTL 49.01% raw 7.04
share_shallow_b700_s0225_rho07200_f0028_seed9009,0.700000,0.225000,0.53366565,0.53366565,RTL 53.37% raw 7.20
share_shallow_b700_s0230_rho07360_f0027_seed900a,0.700000,0.230000,0.51033147,0.51033147,RTL 51.03% raw 7.36
