run_tag,sim_pass,burstiness,normalized_share_lane,persistent_bottleneck_share_lane,raw_rho_lane_hits_per_subheader,rho_unit,n_lane,n_shd,egress_symbols_per_beat,frame_launch_period_cycles,expected_hits,accepted_hits,dropped_hits,delivered_hits,unexplained_hits,loss_probability,loss_tier,persistent_loss_floor,merged_output_utilization
share_shallow_b000_s0205_rho06560_f0004_seed9001,1,0.0,0.205,0.25,6.56,hits_per_subheader_per_lane,4,128,1,4096,13566,13566,0,13566,0,0.0,-,0.0,0.85271484375
share_shallow_b000_s0210_rho06720_f0004_seed9002,1,0.0,0.21,0.25,6.72,hits_per_subheader_per_lane,4,128,1,4096,13927,13927,0,13927,0,0.0,-,0.0,0.87271484375
share_deep_b000_s0220_rho07040_f0028_seeda001,0,0.0,0.22,0.25,7.04,hits_per_subheader_per_lane,4,128,1,4096,100901,23501,77400,23228,273,0.767088532323763,mixed,0.0,0.91271484375
share_shallow_b000_s0220_rho07040_f0004_seed9003,1,0.0,0.22,0.25,7.04,hits_per_subheader_per_lane,4,128,1,4096,14520,14423,97,14423,0,0.006680440771349863,controlled,0.0,0.91271484375
share_deep_b000_s0230_rho07360_f0027_seeda002,1,0.0,0.23,0.25,7.36,hits_per_subheader_per_lane,4,128,1,4096,101644,26493,75151,26493,0,0.7393550037385385,controlled,0.0,0.95271484375
share_shallow_b000_s0230_rho07360_f0004_seed9004,1,0.0,0.23,0.25,7.36,hits_per_subheader_per_lane,4,128,1,4096,14851,14705,146,14705,0,0.009830987812268535,controlled,0.0,0.95271484375
share_shallow_b403_s0215_rho06880_f0004_seed9005,1,0.403,0.215,0.25,6.88,hits_per_subheader_per_lane,4,128,1,4096,14036,13996,40,13996,0,0.002849814762040467,controlled,0.0,0.89271484375
share_deep_b403_s0220_rho07040_f0028_seeda003,0,0.403,0.22,0.25,7.04,hits_per_subheader_per_lane,4,128,1,4096,100696,34562,66134,34213,349,0.6567688885357909,mixed,0.0,0.91271484375
share_shallow_b403_s0220_rho07040_f0004_seed9006,1,0.403,0.22,0.25,7.04,hits_per_subheader_per_lane,4,128,1,4096,14215,14132,83,14132,0,0.005838902567710165,controlled,0.0,0.91271484375
share_deep_b403_s0230_rho07360_f0027_seeda004,1,0.403,0.23,0.25,7.36,hits_per_subheader_per_lane,4,128,1,4096,101801,34639,67162,34639,0,0.6597381165214488,controlled,0.0,0.95271484375
share_shallow_b403_s0230_rho07360_f0004_seed9007,1,0.403,0.23,0.25,7.36,hits_per_subheader_per_lane,4,128,1,4096,15106,11239,3867,11239,0,0.2559909969548524,controlled,0.0,0.95271484375
share_deep_b403_s0235_rho07520_f0026_seeda005,1,0.403,0.235,0.25,7.52,hits_per_subheader_per_lane,4,128,1,4096,100258,35400,64858,35400,0,0.6469109696981787,controlled,0.0,0.97271484375
share_shallow_b403_s0235_rho07520_f0004_seed9008,1,0.403,0.235,0.25,7.52,hits_per_subheader_per_lane,4,128,1,4096,15429,14953,476,14953,0,0.03085099487977186,controlled,0.0,0.97271484375
share_deep_b700_s0235_rho07520_f0026_seeda006,1,0.7,0.235,0.25,7.52,hits_per_subheader_per_lane,4,128,1,4096,99099,48315,50784,48315,0,0.512457239729967,controlled,0.0,0.97271484375
share_shallow_b700_s0235_rho07520_f0004_seed9009,1,0.7,0.235,0.25,7.52,hits_per_subheader_per_lane,4,128,1,4096,15344,15054,290,15054,0,0.018899895724713244,controlled,0.0,0.97271484375
share_deep_b700_s0240_rho07680_f0026_seeda007,1,0.7,0.24,0.25,7.68,hits_per_subheader_per_lane,4,128,1,4096,102173,49246,52927,49246,0,0.5180135652276041,controlled,0.0,0.99271484375
share_shallow_b700_s0240_rho07680_f0004_seed900a,1,0.7,0.24,0.25,7.68,hits_per_subheader_per_lane,4,128,1,4096,15436,15299,137,15299,0,0.00887535630992485,controlled,0.0,0.99271484375
share_deep_b700_s0245_rho07840_f0025_seeda008,1,0.7,0.245,0.25,7.84,hits_per_subheader_per_lane,4,128,1,4096,98110,42573,55537,42573,0,0.5660686983997554,controlled,0.012974330357142839,1.01271484375
share_shallow_b700_s0245_rho07840_f0004_seed900b,1,0.7,0.245,0.25,7.84,hits_per_subheader_per_lane,4,128,1,4096,16637,15887,750,15887,0,0.045080242832241386,controlled,0.012974330357142839,1.01271484375
share_deep_b700_s0250_rho08000_f0025_seeda009,1,0.7,0.25,0.25,8.0,hits_per_subheader_per_lane,4,128,1,4096,100772,43601,57171,43601,0,0.5673302107728337,controlled,0.03271484375,1.03271484375
share_shallow_b700_s0250_rho08000_f0004_seed900c,1,0.7,0.25,0.25,8.0,hits_per_subheader_per_lane,4,128,1,4096,16356,15522,834,15522,0,0.05099046221570066,controlled,0.03271484375,1.03271484375
