run_tag,case,n_lane,egress_symbols_per_beat,rho_ppm,burstiness_milli,frame_count,subheaders_per_frame,inter_frame_gap_cycles,lane_fifo_depth,ticket_fifo_depth,page_ram_depth,frame_ts_step_ticks,frame_launch_period_cycles,feb_header_latency_cycles,tlm_offered_hits,rtl_expected_hits,tlm_dropped_hits,tlm_predrop_hits,tlm_postdrop_hits,tlm_ft_drop_hits,tlm_lane_predrop_hits,tlm_lane_postdrop_hits,tlm_lane_ft_drop_hits,tlm_lane_dropped_hits,rtl_dropped_hits,tlm_loss,rtl_loss,max_lane_fifo_used,max_ticket_fifo_used,max_handle_fifo_used,max_page_frames,max_page_words,max_cycle,sequence_monotonic
marginal_b000_rho0600_f100_period4096,RTL-LS-002,4,1,600000,0,100,128,4096,2048,4096,65536,2048,4096,4096,30643,30643,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1628,2708,1,1,502,514933,1
marginal_b000_rho0620_f100_period4096,RTL-LS-002,4,1,620000,0,100,128,4096,2048,4096,65536,2048,4096,4096,31752,31752,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1709,2708,1,1,498,515009,1
marginal_b000_rho0640_f100_period4096,RTL-LS-002,4,1,640000,0,100,128,4096,2048,4096,65536,2048,4096,4096,32569,32569,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1747,2708,1,1,501,515053,1
marginal_b000_rho0660_f100_period4096,RTL-LS-002,4,1,660000,0,100,128,4096,2048,4096,65536,2048,4096,4096,34203,34203,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1849,2708,1,1,517,515141,1
marginal_b000_rho0680_f100_period4096,RTL-LS-002,4,1,680000,0,100,128,4096,2048,4096,65536,2048,4096,4096,34718,34718,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1886,2710,1,1,531,515280,1
marginal_b000_rho0700_f100_period4096,RTL-LS-002,4,1,700000,0,100,128,4096,2048,4096,65536,2048,4096,4096,35636,35636,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1896,2713,1,1,540,515337,1
marginal_b000_rho0720_f100_period4096,RTL-LS-002,4,1,720000,0,100,128,4096,2048,4096,65536,2048,4096,4096,36791,36791,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2004,2714,1,1,548,515423,1
marginal_b000_rho0750_f100_period4096,RTL-LS-002,4,1,750000,0,100,128,4096,2048,4096,65536,2048,4096,4096,38420,38420,51,51,0,0,0;51;0;0,0;0;0;0,0;0;0;0,0;51;0;0,52,0.001327433628318584,0.001353461738677772,2044,2717,1,1,570,515520,1
marginal_b000_rho0800_f100_period4096,RTL-LS-002,4,1,800000,0,100,128,4096,2048,4096,65536,2048,4096,4096,41032,41032,704,520,184,0,65;140;135;180,62;34;40;48,0;0;0;0,127;174;175;228,715,0.01715734061220511,0.017425424059270812,2044,2679,1,1,590,508921,1
marginal_b000_rho0850_f100_period4096,RTL-LS-002,4,1,850000,0,100,128,4096,2048,4096,65536,2048,4096,4096,43387,43387,925,925,0,0,185;204;269;267,0;0;0;0,0;0;0;0,185;204;269;267,925,0.021319750155576554,0.021319750155576554,2044,2592,1,1,623,515767,1
marginal_b000_rho0900_f100_period4096,RTL-LS-002,4,1,900000,0,100,128,4096,2048,4096,65536,2048,4096,4096,46019,46019,1944,1579,365,0,412;376;307;484,124;88;63;90,0;0;0;0,536;464;370;574,1935,0.04224342119559312,0.04204784980116908,2044,2533,1,1,640,512783,1
marginal_b000_rho0950_f100_period4096,RTL-LS-002,4,1,950000,0,100,128,4096,2048,4096,65536,2048,4096,4096,48440,48440,2170,2170,0,0,514;563;422;671,0;0;0;0,0;0;0;0,514;563;422;671,2629,0.044797687861271675,0.054273327828241125,2044,2453,1,1,699,516706,1
marginal_b000_rho1000_f100_period4096,RTL-LS-002,4,1,1000000,0,100,128,4096,2048,4096,65536,2048,4096,4096,51459,51459,3111,2840,271,0,683;634;800;723,90;78;64;39,0;0;0;0,773;712;864;762,4677,0.06045589692765114,0.09088789133096252,2044,2306,1,1,710,509930,1
marginal_b403_rho0600_f100_period4096,RTL-LS-002,4,1,600000,403,100,128,4096,2048,4096,65536,2048,4096,4096,30629,30629,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1586,2656,1,1,527,510004,1
marginal_b403_rho0620_f100_period4096,RTL-LS-002,4,1,620000,403,100,128,4096,2048,4096,65536,2048,4096,4096,32012,32012,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1684,2664,1,1,564,510273,1
