run_tag,case,n_lane,egress_symbols_per_beat,rho_ppm,burstiness_milli,frame_count,subheaders_per_frame,inter_frame_gap_cycles,lane_fifo_depth,ticket_fifo_depth,handle_fifo_depth,page_ram_depth,frame_ts_step_ticks,frame_launch_period_cycles,feb_header_latency_cycles,tlm_offered_hits,rtl_expected_hits,tlm_dropped_hits,tlm_predrop_hits,tlm_postdrop_hits,tlm_ft_drop_hits,tlm_lane_predrop_hits,tlm_lane_postdrop_hits,tlm_lane_ft_drop_hits,tlm_lane_dropped_hits,rtl_dropped_hits,tlm_loss,rtl_loss,max_lane_fifo_used,max_ticket_fifo_used,max_handle_fifo_used,max_page_frames,max_page_words,max_cycle,sequence_monotonic
share_shallow_b000_s0245_rho07840_f0025_seedb001,RTL-LS-002,4,1,7840000,0,25,128,4096,2048,1024,256,65536,2048,4096,4096,100663,100663,47446,34043,13403,0,9085;8625;8256;8077,2858;3300;3579;3666,0;0;0;0,11943;11925;11835;11743,78039,0.471335048627599,0.7752500918907642,2045,202,256,4,11631,114893,1
share_shallow_b000_s0250_rho08000_f0025_seedb002,RTL-LS-002,4,1,8000000,0,25,128,4096,2048,1024,256,65536,2048,4096,4096,102330,102330,45584,28786,16798,0,6846;6848;7762;7330,4422;4388;3827;4161,0;0;0;0,11268;11236;11589;11491,78243,0.44546076419427344,0.764614482556435,2045,201,256,3,11986,117185,1
share_shallow_b000_s0270_rho08640_f0023_seedb003,RTL-LS-002,4,1,8640000,0,23,128,4096,2048,1024,256,65536,2048,4096,4096,101663,101663,49208,23796,25412,0,5780;5867;6178;5971,6280;6550;6167;6415,0;0;0;0,12060;12417;12345;12386,69374,0.4840305715943854,0.6823918239674218,2045,212,232,4,11025,106111,1
share_shallow_b000_s0300_rho09600_f0021_seedb004,RTL-LS-002,4,1,9600000,0,21,128,4096,2048,1024,256,65536,2048,4096,4096,103146,103146,52117,32269,19848,0,8102;8136;8006;8025,5044;4925;5020;4859,0;0;0;0,13146;13061;13026;12884,72031,0.5052740775211836,0.6983402167800982,2045,208,201,3,12495,100490,1
share_shallow_b403_s0245_rho07840_f0025_seedb005,RTL-LS-002,4,1,7840000,403,25,128,4096,2048,1024,256,65536,2048,4096,4096,100078,100078,51522,43406,8116,0,10835;10946;11024;10601,1883;2049;2097;2087,0;0;0;0,12718;12995;13121;12688,66397,0.5148184416155399,0.6634525070445053,2045,323,197,3,8922,117179,1
share_shallow_b403_s0250_rho08000_f0025_seedb006,RTL-LS-002,4,1,8000000,403,25,128,4096,2048,1024,256,65536,2048,4096,4096,102181,102181,56317,46613,9704,0,11878;11534;11787;11414,2311;2487;2460;2446,0;0;0;0,14189;14021;14247;13860,67078,0.5511494309118133,0.6564625517464108,2045,335,201,3,9530,115042,1
share_shallow_b403_s0270_rho08640_f0023_seedb007,RTL-LS-002,4,1,8640000,403,23,128,4096,2048,1024,256,65536,2048,4096,4096,101763,101763,50211,36060,14151,0,9371;9038;8640;9011,2975;3522;4006;3648,0;0;0;0,12346;12560;12646;12659,72545,0.4934111612275581,0.7128818922398121,2045,207,233,4,12497,109560,1
share_shallow_b403_s0300_rho09600_f0021_seedb008,RTL-LS-002,4,1,9600000,403,21,128,4096,2048,1024,256,65536,2048,4096,4096,102642,102642,52626,34031,18595,0,8584;8959;8293;8195,4702;4498;4715;4680,0;0;0;0,13286;13457;13008;12875,75310,0.512714093645876,0.7337152432727344,2045,247,186,3,12889,101155,1
share_shallow_b700_s0245_rho07840_f0025_seedb009,RTL-LS-002,4,1,7840000,700,25,128,4096,2048,1024,256,65536,2048,4096,4096,99510,99510,47510,45108,2402,0,10702;11669;11655;11082,443;460;682;817,0;0;0;0,11145;12129;12337;11899,54826,0.47743945332127424,0.5509597025424581,2045,582,69,3,9170,133098,1
share_shallow_b700_s0250_rho08000_f0025_seedb00a,RTL-LS-002,4,1,8000000,700,25,128,4096,2048,1024,256,65536,2048,4096,4096,102115,102115,53741,52307,1434,0,13175;12676;13275;13181,496;289;222;427,0;0;0;0,13671;12965;13497;13608,58928,0.5262791950252167,0.5770748665720021,2045,670,82,3,8478,137772,1
share_shallow_b700_s0270_rho08640_f0023_seedb00b,RTL-LS-002,4,1,8640000,700,23,128,4096,2048,1024,256,65536,2048,4096,4096,104155,104155,54779,53432,1347,0,13817;13016;14096;12503,630;291;204;222,0;0;0;0,14447;13307;14300;12725,62269,0.5259373049781576,0.5978493591282223,2045,543,80,3,9975,118846,1
share_shallow_b700_s0300_rho09600_f0021_seedb00c,RTL-LS-002,4,1,9600000,700,21,128,4096,2048,1024,256,65536,2048,4096,4096,100743,100743,55918,52957,2961,0,13512;12663;14125;12657,783;698;765;715,0;0;0;0,14295;13361;14890;13372,58631,0.5550559344073533,0.5819858451703841,2045,562,81,3,13686,108475,1
