run_tag,case,n_lane,egress_symbols_per_beat,rho_ppm,burstiness_milli,frame_count,subheaders_per_frame,inter_frame_gap_cycles,lane_fifo_depth,ticket_fifo_depth,page_ram_depth,frame_ts_step_ticks,frame_launch_period_cycles,feb_header_latency_cycles,tlm_offered_hits,rtl_expected_hits,tlm_dropped_hits,tlm_predrop_hits,tlm_postdrop_hits,tlm_ft_drop_hits,tlm_lane_predrop_hits,tlm_lane_postdrop_hits,tlm_lane_ft_drop_hits,tlm_lane_dropped_hits,rtl_dropped_hits,tlm_loss,rtl_loss,max_lane_fifo_used,max_ticket_fifo_used,max_handle_fifo_used,max_page_frames,max_page_words,max_cycle,sequence_monotonic
share_shallow_b000_s0180_rho05760_f0004_seeda001,RTL-LS-002,4,1,5760000,0,4,128,4096,8192,4096,65536,2048,4096,4096,11722,11722,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1889,262,64,1,3106,33503,1
share_shallow_b000_s0200_rho06400_f0004_seeda002,RTL-LS-002,4,1,6400000,0,4,128,4096,8192,4096,65536,2048,4096,4096,13132,13132,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2149,267,64,1,3470,34911,1
share_shallow_b000_s0220_rho07040_f0004_seeda003,RTL-LS-002,4,1,7040000,0,4,128,4096,8192,4096,65536,2048,4096,4096,14409,14409,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2384,271,64,2,7523,36209,1
share_shallow_b000_s0230_rho07360_f0004_seeda004,RTL-LS-002,4,1,7360000,0,4,128,4096,8192,4096,65536,2048,4096,4096,15032,15032,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2507,273,64,2,7843,36527,1
share_shallow_b000_s0235_rho07520_f0004_seeda005,RTL-LS-002,4,1,7520000,0,4,128,4096,8192,4096,65536,2048,4096,4096,15461,15461,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2569,274,64,2,8093,37073,1
share_shallow_b000_s0240_rho07680_f0004_seeda006,RTL-LS-002,4,1,7680000,0,4,128,4096,8192,4096,65536,2048,4096,4096,15559,15559,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2560,273,64,2,7983,37352,1
share_shallow_b000_s0242_rho07744_f0004_seeda007,RTL-LS-002,4,1,7744000,0,4,128,4096,8192,4096,65536,2048,4096,4096,15934,15934,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2644,275,64,2,8296,37270,1
share_shallow_b000_s0245_rho07840_f0004_seeda008,RTL-LS-002,4,1,7840000,0,4,128,4096,8192,4096,65536,2048,4096,4096,15769,15769,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2594,275,64,2,8171,37509,1
share_shallow_b000_s0250_rho08000_f0004_seeda009,RTL-LS-002,4,1,8000000,0,4,128,4096,8192,4096,65536,2048,4096,4096,16300,16300,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2731,276,64,2,8375,37857,1
share_shallow_b000_s0255_rho08160_f0004_seeda00a,RTL-LS-002,4,1,8160000,0,4,128,4096,8192,4096,65536,2048,4096,4096,16755,16755,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2807,276,64,2,8567,38463,1
share_shallow_b000_s0260_rho08320_f0004_seeda00b,RTL-LS-002,4,1,8320000,0,4,128,4096,8192,4096,65536,2048,4096,4096,16924,16924,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2875,278,64,2,8723,38387,1
share_shallow_b000_s0270_rho08640_f0004_seeda00c,RTL-LS-002,4,1,8640000,0,4,128,4096,8192,4096,65536,2048,4096,4096,17898,17898,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3009,279,64,2,9243,39190,1
share_shallow_b000_s0280_rho08960_f0004_seeda00d,RTL-LS-002,4,1,8960000,0,4,128,4096,8192,4096,65536,2048,4096,4096,18268,18268,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3061,278,64,2,9287,39870,1
share_shallow_b000_s0300_rho09600_f0004_seeda00e,RTL-LS-002,4,1,9600000,0,4,128,4096,8192,4096,65536,2048,4096,4096,20063,20063,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3469,285,64,2,10440,41532,1
share_shallow_b000_s0340_rho10880_f0004_seeda00f,RTL-LS-002,4,1,10880000,0,4,128,4096,8192,4096,65536,2048,4096,4096,22391,22391,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3818,286,64,2,11430,43665,1
share_shallow_b000_s0400_rho12800_f0004_seeda010,RTL-LS-002,4,1,12800000,0,4,128,4096,8192,4096,65536,2048,4096,4096,26301,26301,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,4565,295,64,2,13526,47570,1
share_shallow_b100_s0180_rho05760_f0004_seeda011,RTL-LS-002,4,1,5760000,100,4,128,4096,8192,4096,65536,2048,4096,4096,11772,11772,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1890,262,64,1,3138,33463,1
share_shallow_b100_s0200_rho06400_f0004_seeda012,RTL-LS-002,4,1,6400000,100,4,128,4096,8192,4096,65536,2048,4096,4096,13246,13246,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2233,268,64,1,3482,34968,1
share_shallow_b100_s0220_rho07040_f0004_seeda013,RTL-LS-002,4,1,7040000,100,4,128,4096,8192,4096,65536,2048,4096,4096,14376,14376,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2404,271,64,2,7611,35853,1
share_shallow_b100_s0230_rho07360_f0004_seeda014,RTL-LS-002,4,1,7360000,100,4,128,4096,8192,4096,65536,2048,4096,4096,14835,14835,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2433,271,64,2,7617,36455,1
share_shallow_b100_s0235_rho07520_f0004_seeda015,RTL-LS-002,4,1,7520000,100,4,128,4096,8192,4096,65536,2048,4096,4096,15419,15419,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2553,273,64,2,7911,37263,1
share_shallow_b100_s0240_rho07680_f0004_seeda016,RTL-LS-002,4,1,7680000,100,4,128,4096,8192,4096,65536,2048,4096,4096,15585,15585,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2581,273,64,2,8040,37229,1
share_shallow_b100_s0242_rho07744_f0004_seeda017,RTL-LS-002,4,1,7744000,100,4,128,4096,8192,4096,65536,2048,4096,4096,15537,15537,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2571,273,64,2,8044,37178,1
share_shallow_b100_s0245_rho07840_f0004_seeda018,RTL-LS-002,4,1,7840000,100,4,128,4096,8192,4096,65536,2048,4096,4096,16222,16222,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2719,277,64,2,8441,37901,1
share_shallow_b100_s0250_rho08000_f0004_seeda019,RTL-LS-002,4,1,8000000,100,4,128,4096,8192,4096,65536,2048,4096,4096,16349,16349,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2725,275,64,2,8357,38008,1
share_shallow_b100_s0255_rho08160_f0004_seeda01a,RTL-LS-002,4,1,8160000,100,4,128,4096,8192,4096,65536,2048,4096,4096,16971,16971,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2823,276,64,2,8724,38684,1
share_shallow_b100_s0260_rho08320_f0004_seeda01b,RTL-LS-002,4,1,8320000,100,4,128,4096,8192,4096,65536,2048,4096,4096,16920,16920,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2856,278,64,2,8728,38587,1
share_shallow_b100_s0270_rho08640_f0004_seeda01c,RTL-LS-002,4,1,8640000,100,4,128,4096,8192,4096,65536,2048,4096,4096,17565,17565,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2975,278,64,2,8951,39110,1
share_shallow_b100_s0280_rho08960_f0004_seeda01d,RTL-LS-002,4,1,8960000,100,4,128,4096,8192,4096,65536,2048,4096,4096,18288,18288,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3123,280,64,2,9352,39789,1
share_shallow_b100_s0300_rho09600_f0004_seeda01e,RTL-LS-002,4,1,9600000,100,4,128,4096,8192,4096,65536,2048,4096,4096,19600,19600,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3292,281,64,2,9935,41177,1
share_shallow_b100_s0340_rho10880_f0004_seeda01f,RTL-LS-002,4,1,10880000,100,4,128,4096,8192,4096,65536,2048,4096,4096,22496,22496,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3877,286,64,2,11586,43773,1
share_shallow_b100_s0400_rho12800_f0004_seeda020,RTL-LS-002,4,1,12800000,100,4,128,4096,8192,4096,65536,2048,4096,4096,26357,26357,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,4666,294,64,2,13453,47705,1
share_shallow_b200_s0180_rho05760_f0004_seeda021,RTL-LS-002,4,1,5760000,200,4,128,4096,8192,4096,65536,2048,4096,4096,11772,11772,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1906,261,64,1,3147,33617,1
share_shallow_b200_s0200_rho06400_f0004_seeda022,RTL-LS-002,4,1,6400000,200,4,128,4096,8192,4096,65536,2048,4096,4096,13103,13103,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2140,267,64,1,3493,34796,1
share_shallow_b200_s0220_rho07040_f0004_seeda023,RTL-LS-002,4,1,7040000,200,4,128,4096,8192,4096,65536,2048,4096,4096,14084,14084,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2342,270,64,1,3702,35907,1
share_shallow_b200_s0230_rho07360_f0004_seeda024,RTL-LS-002,4,1,7360000,200,4,128,4096,8192,4096,65536,2048,4096,4096,15126,15126,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2507,272,64,1,4039,36705,1
share_shallow_b200_s0235_rho07520_f0004_seeda025,RTL-LS-002,4,1,7520000,200,4,128,4096,8192,4096,65536,2048,4096,4096,15294,15294,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2525,271,64,2,7837,37039,1
share_shallow_b200_s0240_rho07680_f0004_seeda026,RTL-LS-002,4,1,7680000,200,4,128,4096,8192,4096,65536,2048,4096,4096,15622,15622,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2614,273,64,2,8092,37236,1
share_shallow_b200_s0242_rho07744_f0004_seeda027,RTL-LS-002,4,1,7744000,200,4,128,4096,8192,4096,65536,2048,4096,4096,15940,15940,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2649,274,64,2,8411,37588,1
share_shallow_b200_s0245_rho07840_f0004_seeda028,RTL-LS-002,4,1,7840000,200,4,128,4096,8192,4096,65536,2048,4096,4096,15890,15890,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2639,273,64,2,8219,37435,1
share_shallow_b200_s0250_rho08000_f0004_seeda029,RTL-LS-002,4,1,8000000,200,4,128,4096,8192,4096,65536,2048,4096,4096,16483,16483,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2753,276,64,2,8410,38087,1
share_shallow_b200_s0255_rho08160_f0004_seeda02a,RTL-LS-002,4,1,8160000,200,4,128,4096,8192,4096,65536,2048,4096,4096,16939,16939,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2839,275,64,2,8626,38818,1
share_shallow_b200_s0260_rho08320_f0004_seeda02b,RTL-LS-002,4,1,8320000,200,4,128,4096,8192,4096,65536,2048,4096,4096,17353,17353,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3024,276,64,2,9088,38735,1
share_shallow_b200_s0270_rho08640_f0004_seeda02c,RTL-LS-002,4,1,8640000,200,4,128,4096,8192,4096,65536,2048,4096,4096,17828,17828,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3035,280,64,2,9286,39516,1
share_shallow_b200_s0280_rho08960_f0004_seeda02d,RTL-LS-002,4,1,8960000,200,4,128,4096,8192,4096,65536,2048,4096,4096,18313,18313,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3123,282,64,2,9392,39961,1
share_shallow_b200_s0300_rho09600_f0004_seeda02e,RTL-LS-002,4,1,9600000,200,4,128,4096,8192,4096,65536,2048,4096,4096,19136,19136,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3249,282,64,2,9890,40773,1
