run_tag,mode,component,rank,frame,lane,shd,rtl_hits,tlm_hits,delta_hits,is_first_by_frame,notes
component_b000_rho0750_f0261_seed7101,normal,ingress_accept_hits,1,110,2,40,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=1252 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=883 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_accept_hits,2,111,2,68,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=58 rtl_lane_credit_max=58 rtl_ticket_credit_min=1286 | tlm_ing_rows=1 tlm_lane_credit_min=5 tlm_effective_min=5 tlm_ticket_credit_min=880 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_accept_hits,3,145,2,23,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=514 | tlm_ing_rows=1 tlm_lane_credit_min=6 tlm_effective_min=6 tlm_ticket_credit_min=305 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_accept_hits,4,156,3,102,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=244 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=140 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_accept_hits,5,159,2,110,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=163 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=93 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_accept_hits,6,169,3,9,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=66 rtl_lane_credit_max=66 rtl_ticket_credit_min=85 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=48 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_accept_hits,7,198,0,98,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=2 rtl_lane_credit_max=2 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=80 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_accept_hits,8,203,1,54,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=16 rtl_lane_credit_max=16 rtl_ticket_credit_min=22 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=6 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_predrop_flag_hits,1,110,2,40,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=1252 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=883 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_predrop_flag_hits,2,111,2,68,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=58 rtl_lane_credit_max=58 rtl_ticket_credit_min=1286 | tlm_ing_rows=1 tlm_lane_credit_min=5 tlm_effective_min=5 tlm_ticket_credit_min=880 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_predrop_flag_hits,3,145,2,23,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=514 | tlm_ing_rows=1 tlm_lane_credit_min=6 tlm_effective_min=6 tlm_ticket_credit_min=305 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_predrop_flag_hits,4,156,3,102,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=244 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=140 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_predrop_flag_hits,5,159,2,110,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=163 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=93 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_predrop_flag_hits,6,169,3,9,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=66 rtl_lane_credit_max=66 rtl_ticket_credit_min=85 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=48 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_predrop_flag_hits,7,198,0,98,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=2 rtl_lane_credit_max=2 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=80 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_predrop_flag_hits,8,203,1,54,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=16 rtl_lane_credit_max=16 rtl_ticket_credit_min=22 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=6 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,controlled_predrop_exact_hits,1,111,2,68,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=58 rtl_lane_credit_max=58 rtl_ticket_credit_min=1286 | tlm_ing_rows=1 tlm_lane_credit_min=5 tlm_effective_min=5 tlm_ticket_credit_min=880 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,controlled_predrop_exact_hits,2,120,2,42,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=6 rtl_lane_credit_max=6 rtl_ticket_credit_min=1122 | tlm_ing_rows=1 tlm_lane_credit_min=93 tlm_effective_min=93 tlm_ticket_credit_min=771 tlm_reasons=accept
component_b000_rho0750_f0261_seed7101,normal,controlled_predrop_exact_hits,3,123,0,21,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=4 rtl_lane_credit_max=4 rtl_ticket_credit_min=1061 | tlm_ing_rows=1 tlm_lane_credit_min=47 tlm_effective_min=47 tlm_ticket_credit_min=712 tlm_reasons=accept
component_b000_rho0750_f0261_seed7101,normal,controlled_predrop_exact_hits,4,155,3,59,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=269 | tlm_ing_rows=1 tlm_lane_credit_min=13 tlm_effective_min=13 tlm_ticket_credit_min=164 tlm_reasons=accept
component_b000_rho0750_f0261_seed7101,normal,controlled_predrop_exact_hits,5,169,3,9,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=66 rtl_lane_credit_max=66 rtl_ticket_credit_min=85 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=48 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,controlled_predrop_exact_hits,6,193,3,105,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=9 | tlm_ing_rows=1 tlm_lane_credit_min=8 tlm_effective_min=8 tlm_ticket_credit_min=9 tlm_reasons=accept
component_b000_rho0750_f0261_seed7101,normal,controlled_predrop_exact_hits,7,203,1,54,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=16 rtl_lane_credit_max=16 rtl_ticket_credit_min=22 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=6 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,controlled_predrop_exact_hits,8,76,3,89,0,5,5,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=444 rtl_lane_credit_max=444 rtl_ticket_credit_min=2026 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1546 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,1,18,3,50,6,0,-6,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,2,111,2,68,6,0,-6,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,3,120,2,42,0,6,6,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,4,123,0,21,0,6,6,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,5,155,3,59,0,6,6,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,6,193,3,105,0,6,6,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,7,6,1,26,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,8,30,2,85,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,1,18,3,50,0,6,6,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,2,169,3,9,6,0,-6,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,3,171,3,27,0,6,6,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,4,203,1,54,6,0,-6,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,5,6,1,26,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,6,30,2,85,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,7,42,3,88,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,8,54,1,38,0,5,5,0,
