source,stage,cycle,time_ps,frame,serial,running_ts,current_shd_idx,pending_mask,lane,timestamp,hit_count,handle_depth,page_len_next,kind,ticket_credit_before,ticket_credit_after,lane_credit_before,lane_credit_after,action,effective_lane_credit,src,dst,handle_wptr,ticket_rptr,line,lane_start,sop,eop,next_ticket_wptr,decision,frame_lane_active,pending,pending_lane,q_valid,tk_sop,tk_curr,tk_future,tk_past,ingress_busy,ptr,masked,credit,reactivate,fetch_ts,block_len,body_serial,tail_ready,tail_dropped,drop_reason,lane_credit,ticket_credit,pre_shd,pre_hit,valid,shd,hit
tlm,allocator_fetch,388204,1552816000,75,75,155712,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,handle_accept,388204,1552816000,75,75,155712,,,0,155712,1,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,ticket_pop,388204,1552816000,75,75,,,,0,155712,1,,,body,1520,1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,ticket_pop,388204,1552816000,75,75,,,,1,155712,1,,,body,1520,1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,ticket_pop,388204,1552816000,75,75,,,,2,155712,1,,,body,1520,1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,ticket_pop,388204,1552816000,75,75,,,,3,155712,3,,,body,1520,1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,credit_return,388206,1552824000,75,75,,,,0,155712,1,0,,,,,135,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,handle_accept,388206,1552824000,75,75,155712,,,1,155712,1,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,handle_accept,388208,1552832000,75,75,155712,,,2,155712,1,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,credit_return,388209,1552836000,75,75,,,,1,155712,1,0,,,,,67,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,credit_return,388210,1552840000,75,75,,,,2,155712,1,0,,,,,92,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,handle_accept,388210,1552840000,75,75,155712,,,3,155712,3,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,credit_return,388215,1552860000,75,75,,,,3,155712,3,0,,,,,161,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,allocator_fetch,388231,1552924000,75,75,155728,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,allocator_lane_action,388231,1552924000,75,75,155728,,,0,155728,0,,,,,,,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,ticket_pop,388231,1552924000,75,75,,,,0,155728,0,,,body,1521,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,ticket_pop,388231,1552924000,75,75,,,,1,155728,0,,,body,1521,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,ticket_pop,388231,1552924000,75,75,,,,2,155728,1,,,body,1521,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,ticket_pop,388231,1552924000,75,75,,,,3,155728,0,,,body,1521,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,allocator_lane_action,388233,1552932000,75,75,155728,,,1,155728,0,,,,,,,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,handle_accept,388235,1552940000,75,75,155728,,,2,155728,1,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,allocator_lane_action,388237,1552948000,75,75,155728,,,3,155728,0,,,,,,,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,credit_return,388237,1552948000,75,75,,,,2,155728,1,0,,,,,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,allocator_fetch,388258,1553032000,75,75,155744,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
