time_ps,lane,source,stage,line,action,masked,credit,reactivate,fetch_ts,block_len,body_serial,sop,eop,tail_ready,tail_dropped,decision,running_ts,frame_lane_active,pending,pending_lane,q_valid,tk_sop,tk_curr,tk_future,tk_past,ingress_busy,cycle,frame,serial,allocator_next_cycle,timestamp,src,dst,hit_count,handle_wptr,ticket_rptr,page_len_next,kind,ptr,current_shd_idx,pending_mask,ticket_credit_before,ticket_credit_after,handle_depth,lane_credit_before,lane_credit_after,effective_lane_credit,drop_reason,lane_start,next_ticket_wptr,lane_credit,ticket_credit,pre_shd,pre_hit,valid,shd,hit
1617614000,0,rtl,allocator_lane_action,777917,0,1,0,0,163840,0,79,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617614000,1,rtl,allocator_lane_action,777918,0,1,0,0,163840,0,79,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617614000,2,rtl,allocator_lane_action,777919,0,1,0,0,163840,4,79,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617614000,3,rtl,allocator_lane_action,777920,0,1,0,0,163840,4,79,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617658000,,rtl,allocator_decision,777932,,,,,,,,,,,,idle_to_fetch,163408,15,15,15,15,0,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617708000,,tlm,future_gap_advance,,,,,,,,,,,,,,163392,,,,,,,,,,404427,79,79,404453,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617718000,0,rtl,allocator_lane_action,777953,0,1,0,0,163840,0,79,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617718000,1,rtl,allocator_lane_action,777954,0,1,0,0,163840,0,79,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617718000,2,rtl,allocator_lane_action,777955,0,1,0,0,163840,4,79,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617718000,3,rtl,allocator_lane_action,777956,0,1,0,0,163840,4,79,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
