source,stage,cycle,time_ps,frame,serial,running_ts,allocator_next_cycle,lane,line,action,masked,credit,reactivate,fetch_ts,block_len,body_serial,sop,eop,tail_ready,tail_dropped,decision,frame_lane_active,pending,pending_lane,q_valid,tk_sop,tk_curr,tk_future,tk_past,ingress_busy,current_shd_idx,pending_mask,timestamp,hit_count,kind,ticket_credit_before,ticket_credit_after,src,dst,handle_wptr,ticket_rptr,page_len_next,ptr,handle_depth,lane_credit_before,lane_credit_after,effective_lane_credit,lane_start,next_ticket_wptr,drop_reason,lane_credit,ticket_credit,pre_shd,pre_hit,valid,shd,hit
tlm,future_gap_advance,379921,1519684000,75,75,155264,379947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rtl,allocator_lane_action,,1519726000,,,,,0,686141,0,1,0,0,155648,0,75,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rtl,allocator_lane_action,,1519726000,,,,,1,686142,0,1,0,0,155648,0,75,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rtl,allocator_lane_action,,1519726000,,,,,2,686143,0,1,0,0,155648,0,75,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rtl,allocator_lane_action,,1519726000,,,,,3,686144,0,1,0,0,155648,0,75,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rtl,allocator_decision,,1519770000,,,155296,,,686156,,,,,,,,,,,,idle_to_fetch,15,15,15,15,0,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlm,future_gap_advance,379947,1519788000,75,75,155280,379973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rtl,allocator_lane_action,,1519830000,,,,,0,686177,0,1,0,0,155648,0,75,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rtl,allocator_lane_action,,1519830000,,,,,1,686178,0,1,0,0,155648,0,75,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rtl,allocator_lane_action,,1519830000,,,,,2,686179,0,1,0,0,155648,0,75,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
