run_tag,sim_pass,loss_tier,root_cause,implementation,n_lane,egress_symbols_per_beat,burstiness_milli,rho_ppm,rho,rho_unit,link_utilization,source_word_utilization,merged_output_utilization,hits_per_subheader_per_lane,persistent_knee_rho,above_persistent_knee,persistent_loss_floor,opq_80pct_lossless_target_rho,ready_high,ready_low,frame_gap_cycles,frame_count,subheaders,hits_per_subheader,queue_depth_words,stage_fifo_depth,offered_hit_count,accepted_hit_count,source_queue_drop_hit_count,delivered_hit_count,controlled_loss_hit_count,asserted_loss_hit_count,end_to_end_missing_hit_count,source_drop_loss_probability,inferred_missing_hit_count,total_inferred_loss_probability,asserted_join_wait_cycles,asserted_role_mismatch_cycles,asserted_node_blocked_cycles,asserted_fifo_full_stall_cycles,asserted_fifo_max_occupancy,source_dropped_frame_count,max_source_queue_words,log
tm_n4_rho0100_q1024_s128,1,-,no_loss_observed,time_merger,4,1,0,100000,0.1,hit_words_per_cycle_per_lane,0.1,0.2046875,0.5046875,1.0,0.19814241486068113,0,0.0,0.1585139318885449,1,0,1280,64,128,1,1024,128,32768,32768,0,32768,0,0,0,0.0,0,0.0,252809,0,0,0,2,0,262,/home/yifeng/packages/mu3e_ip_dev/mu3e-ip-cores/packet_scheduler/model/rtl_sim/runs/time_merger_ref_sweep/tm_n4_rho0100_q1024_s128.log
tm_n4_rho0150_q1024_s128,1,-,no_loss_observed,time_merger,4,1,0,150000,0.15,hit_words_per_cycle_per_lane,0.149882903981,0.306791569087,0.75644028103,1.0,0.19814241486068113,0,0.0,0.1585139318885449,1,0,854,64,128,1,1024,128,32768,32768,0,32768,0,0,0,0.0,0,0.0,171017,0,0,0,2,0,262,/home/yifeng/packages/mu3e_ip_dev/mu3e-ip-cores/packet_scheduler/model/rtl_sim/runs/time_merger_ref_sweep/tm_n4_rho0150_q1024_s128.log
tm_n4_rho0180_q1024_s128,1,controlled,finite_source_queue_backpressure,time_merger,4,1,0,180000,0.18,hit_words_per_cycle_per_lane,0.179775280899,0.36797752809,0.907303370787,1.0,0.19814241486068113,0,0.0,0.1585139318885449,1,0,712,64,128,1,1024,128,32768,31232,1536,31232,1536,0,1536,0.046875,0,0.046875,154067,0,0,0,2,3,1015,/home/yifeng/packages/mu3e_ip_dev/mu3e-ip-cores/packet_scheduler/model/rtl_sim/runs/time_merger_ref_sweep/tm_n4_rho0180_q1024_s128.log
tm_n4_rho0190_q1024_s128,1,controlled,finite_source_queue_backpressure,time_merger,4,1,0,190000,0.19,hit_words_per_cycle_per_lane,0.189910979228,0.388724035608,0.958456973294,1.0,0.19814241486068113,0,0.0,0.1585139318885449,1,0,674,64,128,1,1024,128,32768,29696,3072,29696,3072,0,3072,0.09375,0,0.09375,151325,0,0,0,2,6,1018,/home/yifeng/packages/mu3e_ip_dev/mu3e-ip-cores/packet_scheduler/model/rtl_sim/runs/time_merger_ref_sweep/tm_n4_rho0190_q1024_s128.log
tm_n4_rho0200_q1024_s128,1,controlled,persistent_output_overload,time_merger,4,1,0,200000,0.2,hit_words_per_cycle_per_lane,0.2,0.409375,1.009375,1.0,0.19814241486068113,1,0.009287925696594423,0.1585139318885449,1,0,640,64,128,1,1024,128,32768,28160,4608,28160,4608,0,4608,0.140625,0,0.140625,148583,0,0,0,2,9,1019,/home/yifeng/packages/mu3e_ip_dev/mu3e-ip-cores/packet_scheduler/model/rtl_sim/runs/time_merger_ref_sweep/tm_n4_rho0200_q1024_s128.log
tm_n4_rho0220_q1024_s128,1,controlled,persistent_output_overload,time_merger,4,1,0,220000,0.22,hit_words_per_cycle_per_lane,0.219931271478,0.450171821306,1.109965635739,1.0,0.19814241486068113,1,0.0993526597241767,0.1585139318885449,1,0,582,64,128,1,1024,128,32768,25600,7168,25600,7168,0,7168,0.21875,0,0.21875,144013,0,0,0,2,14,1024,/home/yifeng/packages/mu3e_ip_dev/mu3e-ip-cores/packet_scheduler/model/rtl_sim/runs/time_merger_ref_sweep/tm_n4_rho0220_q1024_s128.log
tm_n4_rho0250_q1024_s128,1,controlled,persistent_output_overload,time_merger,4,1,0,250000,0.25,hit_words_per_cycle_per_lane,0.25,0.51171875,1.26171875,1.0,0.19814241486068113,1,0.2074303405572755,0.1585139318885449,1,0,512,64,128,1,1024,128,32768,23040,9728,23040,9728,0,9728,0.296875,0,0.296875,139443,0,0,0,2,19,1021,/home/yifeng/packages/mu3e_ip_dev/mu3e-ip-cores/packet_scheduler/model/rtl_sim/runs/time_merger_ref_sweep/tm_n4_rho0250_q1024_s128.log
tm_n4_rho0300_q1024_s128,1,controlled,persistent_output_overload,time_merger,4,1,0,300000,0.3,hit_words_per_cycle_per_lane,0.299765807963,0.613583138173,1.512880562061,1.0,0.19814241486068113,1,0.33952528379772956,0.1585139318885449,1,0,427,64,128,1,1024,128,32768,19456,13312,19456,13312,0,13312,0.40625,0,0.40625,133045,0,0,0,2,26,1023,/home/yifeng/packages/mu3e_ip_dev/mu3e-ip-cores/packet_scheduler/model/rtl_sim/runs/time_merger_ref_sweep/tm_n4_rho0300_q1024_s128.log
tm_n4_rho0600_q1024_s128,1,controlled,persistent_output_overload,time_merger,4,1,0,600000,0.6,hit_words_per_cycle_per_lane,0.598130841121,1.224299065421,3.018691588785,1.0,0.19814241486068113,1,0.6697626418988648,0.1585139318885449,1,0,214,64,128,1,1024,128,32768,10752,22016,10752,22016,0,22016,0.671875,0,0.671875,117507,0,0,0,2,43,1023,/home/yifeng/packages/mu3e_ip_dev/mu3e-ip-cores/packet_scheduler/model/rtl_sim/runs/time_merger_ref_sweep/tm_n4_rho0600_q1024_s128.log
tm_n4_rho1000_q1024_s128,1,controlled,persistent_output_overload,time_merger,4,1,0,1000000,1.0,hit_words_per_cycle_per_lane,1.0,2.046875,5.046875,1.0,0.19814241486068113,1,0.8018575851393188,0.1585139318885449,1,0,128,64,128,1,1024,128,32768,7168,25600,7168,25600,0,25600,0.78125,0,0.78125,111109,0,0,0,2,50,1023,/home/yifeng/packages/mu3e_ip_dev/mu3e-ip-cores/packet_scheduler/model/rtl_sim/runs/time_merger_ref_sweep/tm_n4_rho1000_q1024_s128.log
