implementation,n_lane,egress_symbols_per_beat,burstiness,rho_hits_per_subheader_lane,rho_hit_words_per_cycle_lane,target_hits,offered_hits,delivered_hits_after_drain,dropped_hits,loss_probability,mean_batch_hits,generation_events,queue_capacity_hits,service_hit_words_per_cycle,max_occupancy_hits,final_drain_cycles,opq_persistent_knee_hits_per_subheader_lane,model_persistent_knee_hits_per_subheader_lane,loss_tier
opq,4,1,0.0,0.1,0.003125,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
opq,4,1,0.0,0.2,0.00625,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
opq,4,1,0.0,0.3,0.009375,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
opq,4,1,0.0,0.4,0.0125,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
opq,4,1,0.0,0.5,0.015625,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
opq,4,1,0.0,0.6,0.01875,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
opq,4,1,0.0,0.75,0.0234375,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
opq,4,1,0.0,0.9,0.028125,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
opq,4,1,0.0,1.0,0.03125,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
opq,4,1,0.0,1.2,0.0375,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
opq,4,1,0.0,1.5,0.046875,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
opq,4,1,0.0,2.0,0.0625,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
opq,4,1,0.0,3.0,0.09375,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
opq,4,1,0.0,4.0,0.125,1000000,1000000,1000000,0,0.0,1.0,1000000,255,0.96728515625,1.0,1.033821302372539,7.73828125,7.73828125,controlled-model-overflow
