implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,scv,mean_generation_batch_hits,rho_lane,cycles,warmup_cycles,effective_capacity,offered_transactions,delivered_transactions,dropped_transactions,mean_occupancy,max_occupancy,loss_probability
opq,4,1,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,255,8600,3584,5017,253.73465401785714,254,0.5833720930232558
time_merger,4,1,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,19,8600,717,7884,18.746372767857142,19,0.9167441860465116
opq,4,2,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,255,8600,7168,1386,251.49302455357142,253,0.16116279069767442
time_merger,4,2,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,19,8600,717,7884,18.746372767857142,19,0.9167441860465116
opq,4,4,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,255,8600,8600,0,0.0,0,1e-12
time_merger,4,4,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,19,8600,717,7884,18.746372767857142,19,0.9167441860465116
opq,4,8,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,255,8600,8600,0,0.0,0,1e-12
time_merger,4,8,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,19,8600,717,7884,18.746372767857142,19,0.9167441860465116
opq,8,1,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,255,17202,3584,13618,254.0,254,0.791652133472852
time_merger,8,1,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,10,17202,358,16844,9.900111607142858,10,0.9791884664573887
opq,8,2,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,255,17202,7168,10034,253.0,253,0.583304266945704
time_merger,8,2,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,10,17202,358,16844,9.900111607142858,10,0.9791884664573887
opq,8,4,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,255,17202,14336,2867,250.56640625,251,0.16666666666666666
time_merger,8,4,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,10,17202,358,16844,9.900111607142858,10,0.9791884664573887
opq,8,8,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,255,17202,17202,0,0.0,0,1e-12
time_merger,8,8,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,10,17202,358,16844,9.900111607142858,10,0.9791884664573887
opq,16,1,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,255,34407,3584,30823,254.0,254,0.8958351498241637
time_merger,16,1,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,6,34407,210,34197,5.94140625,6,0.9938965908100096
opq,16,2,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,255,34407,7168,27239,253.0,253,0.7916702996483274
time_merger,16,2,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,6,34407,210,34197,5.94140625,6,0.9938965908100096
opq,16,4,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,255,34407,14336,20071,251.0,251,0.5833405992966547
time_merger,16,4,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,6,34407,210,34197,5.94140625,6,0.9938965908100096
opq,16,8,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,255,34407,28672,5734,246.91127232142858,247,0.16665213474002383
time_merger,16,8,1.0,0.4033395,5.531856728354324,3.265928364177162,0.6,4096,512,6,34407,210,34197,5.94140625,6,0.9938965908100096
