n_lane,egress_symbols_per_beat,burstiness,ready_duty,rho_lane,opq_loss_probability,time_merger_loss_probability,loss_ratio_clipped
4,1,0.40333950,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,2,0.40333950,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,4,0.40333950,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,8,0.40333950,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
8,1,0.40333950,0.45000000,0.00750000,1.000000000000e-12,2.279069767442e-01,1000000.0000000000
8,2,0.40333950,0.45000000,0.00750000,1.000000000000e-12,2.279069767442e-01,1000000.0000000000
8,4,0.40333950,0.45000000,0.00750000,1.000000000000e-12,2.279069767442e-01,1000000.0000000000
8,8,0.40333950,0.45000000,0.00750000,1.000000000000e-12,2.279069767442e-01,1000000.0000000000
16,1,0.40333950,0.45000000,0.00750000,1.000000000000e-12,7.749419953596e-01,1000000.0000000000
16,2,0.40333950,0.45000000,0.00750000,1.000000000000e-12,7.749419953596e-01,1000000.0000000000
16,4,0.40333950,0.45000000,0.00750000,1.000000000000e-12,7.749419953596e-01,1000000.0000000000
16,8,0.40333950,0.45000000,0.00750000,1.000000000000e-12,7.749419953596e-01,1000000.0000000000
