implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,scv,mean_generation_batch_hits,rho_lane,cycles,warmup_cycles,effective_capacity,offered_transactions,delivered_transactions,dropped_transactions,mean_occupancy,max_occupancy,loss_probability
opq,4,1,1.0,-0.25,0.36,1.0,0.005,512,64,255,9,9,0,0.0,0,1e-12
opq,4,1,1.0,-0.1,0.6694214876033057,1.0,0.005,512,64,255,9,9,0,0.0,0,1e-12
opq,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.005,512,64,255,8,8,0,0.0,0,1e-12
opq,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.005,512,64,255,9,9,0,0.006696428571428571,1,1e-12
opq,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.005,512,64,255,7,7,0,0.011160714285714286,2,1e-12
opq,4,1,1.0,0.5,9.0,5.0,0.005,512,64,255,10,10,0,0.044642857142857144,4,1e-12
opq,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.005,512,64,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.005,512,64,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,0.95,1000.0,760.9999999999986,0.005,512,64,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,-0.25,0.36,1.0,0.041874999999999996,512,64,255,75,75,0,0.0,0,1e-12
opq,4,1,1.0,-0.1,0.6694214876033057,1.0,0.041874999999999996,512,64,255,75,75,0,0.0,0,1e-12
opq,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.041874999999999996,512,64,255,76,76,0,0.017857142857142856,1,1e-12
opq,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.041874999999999996,512,64,255,75,75,0,0.06473214285714286,1,1e-12
opq,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.041874999999999996,512,64,255,75,77,0,0.14955357142857142,2,1e-12
opq,4,1,1.0,0.5,9.0,5.0,0.041874999999999996,512,64,255,75,75,0,0.33482142857142855,4,1e-12
opq,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.041874999999999996,512,64,255,81,81,0,0.9575892857142857,11,1e-12
opq,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.041874999999999996,512,64,255,82,64,0,3.3191964285714284,40,1e-12
opq,4,1,1.0,0.95,1000.0,760.9999999999986,0.041874999999999996,512,64,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,-0.25,0.36,1.0,0.07875,512,64,255,141,141,0,0.0,0,1e-12
opq,4,1,1.0,-0.1,0.6694214876033057,1.0,0.07875,512,64,255,141,141,0,0.0,0,1e-12
opq,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.07875,512,64,255,142,141,0,0.033482142857142856,1,1e-12
opq,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.07875,512,64,255,141,141,0,0.12053571428571429,1,1e-12
opq,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.07875,512,64,255,141,141,0,0.27455357142857145,2,1e-12
opq,4,1,1.0,0.5,9.0,5.0,0.07875,512,64,255,140,144,0,0.6383928571428571,4,1e-12
opq,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.07875,512,64,255,139,139,0,1.6450892857142858,11,1e-12
opq,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.07875,512,64,255,123,123,0,5.491071428571429,40,1e-12
opq,4,1,1.0,0.95,1000.0,760.9999999999986,0.07875,512,64,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,-0.25,0.36,1.0,0.115625,512,64,255,207,207,0,0.0,0,1e-12
opq,4,1,1.0,-0.1,0.6694214876033057,1.0,0.115625,512,64,255,207,207,0,0.0,0,1e-12
opq,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.115625,512,64,255,208,208,0,0.046875,1,1e-12
opq,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.115625,512,64,255,206,207,0,0.17633928571428573,1,1e-12
opq,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.115625,512,64,255,207,207,0,0.4017857142857143,2,1e-12
opq,4,1,1.0,0.5,9.0,5.0,0.115625,512,64,255,210,209,0,0.9375,4,1e-12
opq,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.115625,512,64,255,209,207,0,2.4776785714285716,11,1e-12
opq,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.115625,512,64,255,205,205,0,9.151785714285714,40,1e-12
opq,4,1,1.0,0.95,1000.0,760.9999999999986,0.115625,512,64,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,-0.25,0.36,1.0,0.1525,512,64,255,273,273,0,0.0,0,1e-12
opq,4,1,1.0,-0.1,0.6694214876033057,1.0,0.1525,512,64,255,273,273,0,0.0,0,1e-12
opq,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.1525,512,64,255,274,274,0,0.07366071428571429,1,1e-12
opq,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.1525,512,64,255,273,273,0,0.234375,1,1e-12
opq,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.1525,512,64,255,273,273,0,0.5290178571428571,2,1e-12
opq,4,1,1.0,0.5,9.0,5.0,0.1525,512,64,255,275,274,0,1.2276785714285714,4,1e-12
opq,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.1525,512,64,255,267,271,0,3.1808035714285716,11,1e-12
opq,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.1525,512,64,255,287,287,0,12.8125,40,1e-12
opq,4,1,1.0,0.95,1000.0,760.9999999999986,0.1525,512,64,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,-0.25,0.36,1.0,0.189375,512,64,255,339,339,0,0.0,0,1e-12
opq,4,1,1.0,-0.1,0.6694214876033057,1.0,0.189375,512,64,255,339,339,0,0.0,0,1e-12
opq,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.189375,512,64,255,340,340,0,0.12723214285714285,1,1e-12
opq,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.189375,512,64,255,339,339,0,0.29017857142857145,1,1e-12
opq,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.189375,512,64,255,338,339,0,0.6584821428571429,2,1e-12
opq,4,1,1.0,0.5,9.0,5.0,0.189375,512,64,255,340,339,0,1.5178571428571428,4,1e-12
opq,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.189375,512,64,255,337,341,0,4.060267857142857,11,1e-12
opq,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.189375,512,64,255,328,343,0,15.412946428571429,40,1e-12
opq,4,1,1.0,0.95,1000.0,760.9999999999986,0.189375,512,64,255,0,0,0,0.0,0,1e-12
opq,4,1,1.0,-0.25,0.36,1.0,0.22625,512,64,255,406,406,0,0.0,0,1e-12
