n_lane,egress_symbols_per_beat,burstiness,ready_duty,rho_lane,opq_loss_probability,time_merger_loss_probability,loss_ratio_clipped
4,1,-0.25000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.10000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.05000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.20000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.35000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.50000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.65000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.80000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.95000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.25000000,0.58750000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.10000000,0.58750000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.05000000,0.58750000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.20000000,0.58750000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.35000000,0.58750000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.50000000,0.58750000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.65000000,0.58750000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.80000000,0.58750000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.95000000,0.58750000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.25000000,0.72500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.10000000,0.72500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.05000000,0.72500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.20000000,0.72500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.35000000,0.72500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.50000000,0.72500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.65000000,0.72500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.80000000,0.72500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.95000000,0.72500000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.25000000,0.86250000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.10000000,0.86250000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.05000000,0.86250000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.20000000,0.86250000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.35000000,0.86250000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.50000000,0.86250000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.65000000,0.86250000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.80000000,0.86250000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.95000000,0.86250000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.25000000,1.00000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.10000000,1.00000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.05000000,1.00000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.20000000,1.00000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.35000000,1.00000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.50000000,1.00000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.65000000,1.00000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.80000000,1.00000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.95000000,1.00000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,2,-0.25000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,2,-0.10000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,2,0.05000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,2,0.20000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,2,0.35000000,0.45000000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
