implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,rho_lane,effective_load,loss_probability
opq,4,1,1.000000,-0.25000000,0.00500000,0.0178885438,1.000000000000e-12
opq,4,1,1.000000,-0.24000000,0.00500000,0.0179605302,1.000000000000e-12
opq,4,1,1.000000,-0.23000000,0.00500000,0.0180333927,1.000000000000e-12
opq,4,1,1.000000,-0.22000000,0.00500000,0.0181071492,1.000000000000e-12
opq,4,1,1.000000,-0.21000000,0.00500000,0.0181818182,1.000000000000e-12
opq,4,1,1.000000,-0.20000000,0.00500000,0.0182574186,1.000000000000e-12
opq,4,1,1.000000,-0.19000000,0.00500000,0.0183339699,1.000000000000e-12
opq,4,1,1.000000,-0.18000000,0.00500000,0.0184114924,1.000000000000e-12
opq,4,1,1.000000,-0.17000000,0.00500000,0.0184900065,1.000000000000e-12
opq,4,1,1.000000,-0.16000000,0.00500000,0.0185695338,1.000000000000e-12
opq,4,1,1.000000,-0.15000000,0.00500000,0.0186500962,1.000000000000e-12
opq,4,1,1.000000,-0.14000000,0.00500000,0.0187317162,1.000000000000e-12
opq,4,1,1.000000,-0.13000000,0.00500000,0.0188144174,1.000000000000e-12
opq,4,1,1.000000,-0.12000000,0.00500000,0.0188982237,1.000000000000e-12
opq,4,1,1.000000,-0.11000000,0.00500000,0.0189831599,1.000000000000e-12
opq,4,1,1.000000,-0.10000000,0.00500000,0.0190692518,1.000000000000e-12
opq,4,1,1.000000,-0.09000000,0.00500000,0.0191565257,1.000000000000e-12
opq,4,1,1.000000,-0.08000000,0.00500000,0.0192450090,1.000000000000e-12
opq,4,1,1.000000,-0.07000000,0.00500000,0.0193347298,1.000000000000e-12
opq,4,1,1.000000,-0.06000000,0.00500000,0.0194257172,1.000000000000e-12
opq,4,1,1.000000,-0.05000000,0.00500000,0.0195180015,1.000000000000e-12
opq,4,1,1.000000,-0.04000000,0.00500000,0.0196116135,1.000000000000e-12
opq,4,1,1.000000,-0.03000000,0.00500000,0.0197065856,1.000000000000e-12
opq,4,1,1.000000,-0.02000000,0.00500000,0.0198029509,1.000000000000e-12
opq,4,1,1.000000,-0.01000000,0.00500000,0.0199007438,1.000000000000e-12
opq,4,1,1.000000,0.00000000,0.00500000,0.0200000000,1.000000000000e-12
opq,4,1,1.000000,0.01000000,0.00500000,0.0201007563,1.000000000000e-12
opq,4,1,1.000000,0.02000000,0.00500000,0.0202030509,1.000000000000e-12
opq,4,1,1.000000,0.03000000,0.00500000,0.0203069233,1.000000000000e-12
opq,4,1,1.000000,0.04000000,0.00500000,0.0204124145,1.000000000000e-12
opq,4,1,1.000000,0.05000000,0.00500000,0.0205195670,1.000000000000e-12
opq,4,1,1.000000,0.06000000,0.00500000,0.0206284249,1.000000000000e-12
