implementation,n_lane,egress_symbols_per_beat,burstiness,scv,rate_per_lane,effective_load,effective_capacity,loss_probability
OPQ,4,1,-1.0,0.0,0.01,0.028284271247461905,255,0.0
OPQ,4,1,-1.0,0.0,0.013900000000000001,0.03931513703397205,255,0.0
OPQ,4,1,-1.0,0.0,0.0178,0.05034600282048219,255,0.0
OPQ,4,1,-1.0,0.0,0.0217,0.06137686860699233,255,8.1977888040888e-310
OPQ,4,1,-1.0,0.0,0.0256,0.07240773439350247,255,1.631254094465619e-291
OPQ,4,1,-1.0,0.0,0.0295,0.0834386001800126,255,8.142335237780878e-276
OPQ,4,1,-1.0,0.0,0.0334,0.09446946596652275,255,4.531327768410091e-262
OPQ,4,1,-1.0,0.0,0.0373,0.1055003317530329,255,7.608615479984014e-250
OPQ,4,1,-1.0,0.0,0.0412,0.11653119753954304,255,7.743809274069735e-239
OPQ,4,1,-1.0,0.0,0.0451,0.1275620633260532,255,7.938273584102075e-229
OPQ,4,1,-1.0,0.0,0.049,0.13859292911256332,255,1.2000025836620969e-219
OPQ,4,1,-1.0,0.0,0.0529,0.1496237948990735,255,3.587408310409571e-211
OPQ,4,1,-1.0,0.0,0.0568,0.16065466068558362,255,2.6714043635095316e-203
OPQ,4,1,-1.0,0.0,0.060700000000000004,0.17168552647209376,255,5.960529142899319e-196
OPQ,4,1,-1.0,0.0,0.0646,0.1827163922586039,255,4.63061014146584e-189
OPQ,4,1,-1.0,0.0,0.0685,0.19374725804511406,255,1.4175561701356549e-182
OPQ,4,1,-1.0,0.0,0.0724,0.2047781238316242,255,1.8958153726863076e-176
OPQ,4,1,-1.0,0.0,0.07629999999999999,0.2158089896181343,255,1.2082376909177461e-170
OPQ,4,1,-1.0,0.0,0.0802,0.22683985540464444,255,3.950997114890087e-165
OPQ,4,1,-1.0,0.0,0.0841,0.2378707211911546,255,7.062865179342792e-160
OPQ,4,1,-1.0,0.0,0.088,0.24890158697766473,255,7.290403808435877e-155
OPQ,4,1,-1.0,0.0,0.0919,0.25993245276417487,255,4.557221160570704e-150
OPQ,4,1,-1.0,0.0,0.0958,0.270963318550685,255,1.7985707940481178e-145
OPQ,4,1,-1.0,0.0,0.0997,0.28199418433719514,255,4.6490762898580794e-141
OPQ,4,1,-1.0,0.0,0.1036,0.29302505012370533,255,8.13045773629774e-137
OPQ,4,1,-1.0,0.0,0.1075,0.30405591591021547,255,9.901615848909965e-133
OPQ,4,1,-1.0,0.0,0.1114,0.3150867816967256,255,8.616532946409055e-129
OPQ,4,1,-1.0,0.0,0.1153,0.32611764748323574,255,5.483158308714923e-125
OPQ,4,1,-1.0,0.0,0.1192,0.3371485132697459,255,2.605161817136235e-121
OPQ,4,1,-1.0,0.0,0.1231,0.348179379056256,255,9.416834430795264e-118
OPQ,4,1,-1.0,0.0,0.127,0.35921024484276615,255,2.6341332778107653e-114
OPQ,4,1,-1.0,0.0,0.13090000000000002,0.37024111062927634,255,5.791052717086158e-111
OPQ,4,1,-1.0,0.0,0.1348,0.3812719764157865,255,1.0148354720681373e-107
OPQ,4,1,-1.0,0.0,0.13870000000000002,0.39230284220229666,255,1.436012169368958e-104
OPQ,4,1,-1.0,0.0,0.1426,0.40333370798880674,255,1.660289615555281e-101
OPQ,4,1,-1.0,0.0,0.14650000000000002,0.41436457377531694,255,1.5856048940580783e-98
OPQ,4,1,-1.0,0.0,0.1504,0.425395439561827,255,1.2633993676042422e-95
OPQ,4,1,-1.0,0.0,0.15430000000000002,0.4364263053483372,255,8.476863723496538e-93
OPQ,4,1,-1.0,0.0,0.1582,0.44745717113484734,255,4.83049319379339e-90
OPQ,4,1,-1.0,0.0,0.16210000000000002,0.45848803692135753,255,2.3564063442921037e-87
OPQ,4,1,-1.0,0.0,0.166,0.4695189027078676,255,9.913013666678992e-85
OPQ,4,1,-1.0,0.0,0.16990000000000002,0.4805497684943778,255,3.6210031051257027e-82
OPQ,4,1,-1.0,0.0,0.1738,0.4915806342808879,255,1.1558123075444156e-79
OPQ,4,1,-1.0,0.0,0.17770000000000002,0.5026115000673981,255,3.2431211434385466e-77
OPQ,4,1,-1.0,0.0,0.1816,0.5136423658539082,255,8.043949693276968e-75
OPQ,4,1,-1.0,0.0,0.18550000000000003,0.5246732316404183,255,1.7728160364099153e-72
OPQ,4,1,-1.0,0.0,0.1894,0.5357040974269285,255,3.4886847967525e-70
OPQ,4,1,-1.0,0.0,0.19330000000000003,0.5467349632134386,255,6.158122718171852e-68
OPQ,4,1,-1.0,0.0,0.19720000000000001,0.5577658289999488,255,9.792370634136738e-66
OPQ,4,1,-1.0,0.0,0.20110000000000003,0.568796694786459,255,1.4084240251712736e-63
OPQ,4,1,-1.0,0.0,0.20500000000000002,0.579827560572969,255,1.8392275887531414e-61
OPQ,4,1,-1.0,0.0,0.20890000000000003,0.5908584263594793,255,2.1885130854375286e-59
OPQ,4,1,-1.0,0.0,0.21280000000000002,0.6018892921459893,255,2.3809003790438021e-57
OPQ,4,1,-1.0,0.0,0.21670000000000003,0.6129201579324995,255,2.375725631125645e-55
OPQ,4,1,-1.0,0.0,0.22060000000000002,0.6239510237190097,255,2.180832540826778e-53
OPQ,4,1,-1.0,0.0,0.22450000000000003,0.6349818895055198,255,1.8469528796872423e-51
OPQ,4,1,-1.0,0.0,0.22840000000000002,0.64601275529203,255,1.4469927198288243e-49
OPQ,4,1,-1.0,0.0,0.23230000000000003,0.6570436210785401,255,1.0513824553967968e-47
OPQ,4,1,-1.0,0.0,0.23620000000000002,0.6680744868650502,255,7.102099665240288e-46
OPQ,4,1,-1.0,0.0,0.24010000000000004,0.6791053526515604,255,4.4702995834306447e-44
OPQ,4,1,-1.0,0.0,0.24400000000000002,0.6901362184380705,255,2.6275432571290893e-42
OPQ,4,1,-1.0,0.0,0.24790000000000004,0.7011670842245806,255,1.4451605564011717e-40
OPQ,4,1,-1.0,0.0,0.2518,0.7121979500110908,255,7.452076359431873e-39
OPQ,4,1,-1.0,0.0,0.25570000000000004,0.723228815797601,255,3.6093571666632994e-37
OPQ,4,1,-1.0,0.0,0.2596,0.734259681584111,255,1.6448498715594555e-35
OPQ,4,1,-1.0,0.0,0.2635,0.7452905473706212,255,7.064418007634299e-34
OPQ,4,1,-1.0,0.0,0.2674,0.7563214131571313,255,2.86383805013296e-32
OPQ,4,1,-1.0,0.0,0.27130000000000004,0.7673522789436416,255,1.097411617281553e-30
OPQ,4,1,-1.0,0.0,0.2752,0.7783831447301516,255,3.9803903816981856e-29
OPQ,4,1,-1.0,0.0,0.2791,0.7894140105166617,255,1.368236336240642e-27
OPQ,4,1,-1.0,0.0,0.28300000000000003,0.800444876303172,255,4.462490280408474e-26
OPQ,4,1,-1.0,0.0,0.28690000000000004,0.8114757420896821,255,1.3823893653698487e-24
OPQ,4,1,-1.0,0.0,0.2908,0.8225066078761921,255,4.07125297158877e-23
OPQ,4,1,-1.0,0.0,0.2947,0.8335374736627024,255,1.1408392768520487e-21
OPQ,4,1,-1.0,0.0,0.29860000000000003,0.8445683394492125,255,3.0437760290815776e-20
OPQ,4,1,-1.0,0.0,0.30250000000000005,0.8555992052357227,255,7.735966262741474e-19
OPQ,4,1,-1.0,0.0,0.3064,0.8666300710222328,255,1.8735500801754655e-17
OPQ,4,1,-1.0,0.0,0.3103,0.8776609368087429,255,4.324055564190993e-16
OPQ,4,1,-1.0,0.0,0.31420000000000003,0.888691802595253,255,9.507724097600654e-15
OPQ,4,1,-1.0,0.0,0.31810000000000005,0.8997226683817633,255,1.990268789769235e-13
OPQ,4,1,-1.0,0.0,0.322,0.9107535341682733,255,3.961062098101621e-12
OPQ,4,1,-1.0,0.0,0.3259,0.9217843999547835,255,7.477882587607358e-11
